"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2019-01-04","NO","Trabajo no registrado","BUENOS AIRES",""
"2019-01-04","No","Otros","Entre Ríos",""
"2019-01-04","No","Otros","Buenos Aires",""
"2019-01-05","No","Trata de Personas","Buenos Aires",""
"2019-01-05","No","Otros","Entre Ríos",""
"2019-01-05","No","Otros","Buenos Aires",""
"2019-01-06","No","Trata de Personas","Buenos Aires",""
"2019-01-06","No","Trata de Personas","NS/NC",""
"2019-01-06","No","Violencia Familiar","BUENOS AIRES",""
"2019-01-06","No","Otros","NS/NC",""
"2019-01-08","No","Trata de Personas","Córdoba",""
"2019-01-08","NO","Otros","BUENOS AIRES",""
"2019-01-08","Sí","Otros","BUENOS AIRES",""
"2019-01-08","Sí","Trata de Personas","Salta",""
"2019-01-08","No","Adicciones","Córdoba",""
"2019-01-09","No","Trata de Personas","San Juan",""
"2019-01-10","No","Trata de Personas","Mendoza",""
"2019-01-10","no","Otros","BUENOS AIRES",""
"2019-01-11","No","Trabajo no registrado","Neuquén",""
"2019-01-11","No","Personas Privadas de su Libertad","Buenos Aires",""
"2019-01-11","Sí","Niñez y Adolescencia en Riesgo","Mendoza",""
"2019-01-14","Sí","Salud Mental","Buenos Aires",""
"2019-01-14","Sí","Trata de Personas","Catamarca",""
"2019-01-15","No","Otros","NS/NC",""
"2019-01-15","Sí","Niñez y Adolescencia en Riesgo","Santiado del Estero",""
"2019-01-15","NO","Niñez y Adolescencia en Riesgo","BUENOS AIRES",""
"2019-01-16","No","Salud Mental","Buenos Aires",""
"2019-01-16","No","Consulta por Judicializacion","NS/NC",""
"2019-01-17","No","Consulta por Judicializacion","CABA",""
"2019-01-17","no","Otros","NS/NC",""
"2019-01-18","No","Violencia de Género","Buenos Aires",""
"2019-01-20","Sí","Violencia Familiar","Santa Fe",""
"2019-01-21","no","Trata de Personas","Mendoza",""
"2019-01-21","No","Trata de Personas","CABA",""
"2019-01-22","Sí","Trata de Personas","Tucumán",""
"2019-01-23","No","Salud Mental","Mendoza",""
"2019-01-24","No","Salud Mental","Mendoza",""
"2019-01-24","No","Otros","Neuquén",""
"2019-01-24","No","Otros","Buenos Aires",""
"2019-01-24","No","Trata de Personas","Mendoza",""
"2019-01-24","Sí","Niñez y Adolescencia en Riesgo","Tucumán",""
"2019-01-24","No","Violencia de Género","Neuquén",""
"2019-01-25","Sí","Niñez y Adolescencia en Riesgo","Santa Fe",""
"2019-01-25","Sí","Personas Privadas de su Libertad","Córdoba",""
"2019-01-26","no","Violencia de Género","BUENOS AIRES",""
"2019-01-26","No","Violencia Familiar","BUENOS AIRES",""
"2019-01-26","No","Violencia de Género","NS/NC",""
"2019-01-26","NO","Violencia de Género","Chaco",""
"2019-01-27","No","Salud Mental","Entre Ríos",""
"2019-01-27","NO","Otros","CABA",""
"2019-01-28","No","Trata de Personas","CABA",""
"2019-01-29","No","Consulta por Judicializacion","Buenos Aires",""
"2019-01-29","Sí","Trata de Personas","caba",""
"2019-01-29","No","Consulta por Judicializacion","Buenos Aires",""
"2019-01-30","No","Trata de Personas","Buenos Aires",""
"2019-01-30","No","Trabajo no registrado","Neuquén",""
"2019-01-30","no","Niñez y Adolescencia en Riesgo","Buenos Aires",""
"2019-01-31","No","Trabajo no registrado","NS/NC",""
"2019-01-31","Sí","Niñez y Adolescencia en Riesgo","caba",""
