"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_indec_id"
"2019-03-01","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Colombia ","No se derivó a seguimiento",""
"2019-03-01","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Corrupción de menores, prostitución infantil, pornografía, explotación sexual de niñas/os o adolescentes,  grooming","NS/NC","Seguimiento concluido sin derivación",""
"2019-03-01","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","Buenos Aires","No se derivó a seguimiento",""
"2019-03-01","SALUD","Otro (Salud)","Buenos Aires","No se derivó a seguimiento",""
"2019-03-02","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","Santa Fe ","Informe Organismo de Niñez",""
"2019-03-03","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Fraude, estafa , extorsión, usurpación o daños","Buenos Aires","No se derivó a seguimiento",""
"2019-03-04","DAÑOS Y RESPONSABILIDAD CIVIL","Otro (Daños y responsabilidad civil)","Chubut","No se derivó a seguimiento",""
"2019-03-04","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-05","RELACIONES DE FAMILIA","Violencia intrafamiliar","Santa Fe ","No se derivó a seguimiento",""
"2019-03-05","RELACIONES DE FAMILIA","Otro (Relaciones de familia)","Santa Fe ","No se derivó a seguimiento",""
"2019-03-05","RELACIONES DE FAMILIA","Violencia intrafamiliar","Entre Rios","No se derivó a seguimiento",""
"2019-03-05","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","NS/NC","No se derivó a seguimiento",""
"2019-03-05","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","NS/NC","No se derivó a seguimiento",""
"2019-03-06","SALUD","Salud mental","NS/NC","No se derivó a seguimiento",""
"2019-03-06","SALUD","Salud mental","NS/NC","No se derivó a seguimiento",""
"2019-03-06","SALUD","Salud mental","NS/NC","No se derivó a seguimiento",""
"2019-03-06","VIOLENCIA DE GÉNERO","Física","NS/NC","No se derivó a seguimiento",""
"2019-03-06","VIOLENCIA DE GÉNERO","Física","CHACO ","No se derivó a seguimiento",""
"2019-03-06","VIOLENCIA DE GÉNERO","Física","CHACO ","No se derivó a seguimiento",""
