"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_id"
"2019-10-01","TRATA","Otro","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-02","TRATA","Pornografía infantil","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-02","TRATA","Explotación sexual","No se derivó a seguimiento","Tierra del Fuego ","94"
"2019-10-03","TRATA","Persona desaparecida","No se derivó a seguimiento","Jujuy","38"
"2019-10-04","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Santa Fe","82"
"2019-10-07","TRATA","Explotación sexual","No se derivó a seguimiento","NS/NC",""
"2019-10-09","TRATA","Persona desaparecida","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-09","TRATA","Persona desaparecida","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-10","TRATA","Explotación sexual","No se derivó a seguimiento","La Rioja","46"
"2019-10-10","TRATA","Otro","No se derivó a seguimiento","NS/NC",""
"2019-10-10","ABUSO SEXUAL INFANTIL","ABUSO SEXUAL INFANTIL","No se derivó a seguimiento","San Juan ","70"
"2019-10-11","TRATA","Explotación sexual","No se derivó a seguimiento","Salta","66"
"2019-10-11","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No se derivó a seguimiento","San Luis ","74"
"2019-10-11","TRATA","Explotación sexual N,N y A","No se derivó a seguimiento","Corrientes","18"
"2019-10-11","TRATA","Explotación laboral","No se derivó a seguimiento","NS/NC",""
"2019-10-11","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No se derivó a seguimiento","Santa Fe","82"
"2019-10-12","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-12","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No se derivó a seguimiento","Tucumán","90"
"2019-10-13","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-13","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-13","TRATA","Persona desaparecida","No se derivó a seguimiento","Santa Fe","82"
"2019-10-13","TRATA","Otro","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-13","VÍCTIMA DE DELITO","CONTRA LA ADMINISTRACIÓN PÚBLICA: Abuso de autoridad, violación a los deberes de funcionario público, denegación o de justicia","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-15","TRATA","Persona desaparecida, Reducción a la servidumbre o situaciones análogas","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-15","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","En curso","Tucumán","90"
"2019-10-15","TRATA","Explotación sexual","No se derivó a seguimiento","PARAGUAY",""
"2019-10-16","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-17","TRATA","Explotación laboral","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-17","TRATA","Explotación sexual","No se derivó a seguimiento","NS/NC",""
"2019-10-17","TRATA","Otro","No se derivó a seguimiento","Misiones ","54"
"2019-10-17","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No se derivó a seguimiento","Entre Rios","30"
"2019-10-18","TRATA","Persona desaparecida","No se derivó a seguimiento","Misiones ","54"
"2019-10-18","TRATA","Explotación laboral","No se derivó a seguimiento","Salta","66"
"2019-10-18","TRATA","Explotación sexual","No se derivó a seguimiento","Catamarca","10"
"2019-10-18","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-18","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No se derivó a seguimiento","Santa Fe","82"
"2019-10-19","TRATA","Explotación sexual","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-19","TRATA","Explotación sexual","No se derivó a seguimiento","San Luis ","74"
"2019-10-19","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","NS/NC",""
"2019-10-19","TRATA","Explotación laboral","No se derivó a seguimiento","Salta","66"
"2019-10-19","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Corrupción de menores, prostitución infantil, pornografía, explotación sexual de niñas/os o adolescentes,  grooming","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-20","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Robo o hurto","No se derivó a seguimiento","Santa Fe","82"
"2019-10-20","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No se derivó a seguimiento","Santa Fe","82"
"2019-10-20","TRATA","Otro","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-20","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-21","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Mendoza","50"
"2019-10-21","ABUSO SEXUAL INFANTIL","ABUSO SEXUAL INFANTIL","No se derivó a seguimiento","Corrientes","18"
"2019-10-21","TRATA","Grooming","No se derivó a seguimiento","Río Negro","62"
"2019-10-22","TRATA","Explotación sexual","No se derivó a seguimiento","Buenos Aires","06"
