"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_id"
"2019-05-01","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-01","JUSTICIA PENAL","Agravamiento en las formas o condiciones de detención","No fue derivada a seguimiento","NS/NC",""
"2019-05-02","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-02","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-03","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Neuquén","58"
"2019-05-03","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Neuquén","58"
"2019-05-03","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Seguimiento concluido sin derivación","Neuquén","58"
"2019-05-03","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-03","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-03","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-03","VIOLENCIA DE GÉNERO","Psicológica","No fue derivada a seguimiento","NS/NC",""
"2019-05-03","VIOLENCIA DE GÉNERO","Psicológica","No fue derivada a seguimiento","NS/NC",""
"2019-05-04","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","NS/NC",""
"2019-05-04","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","NS/NC",""
"2019-05-04","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","NS/NC",""
"2019-05-05","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-05","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-05","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivada a seguimiento","NS/NC",""
"2019-05-06","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-05-06","RELACIONES DE FAMILIA","Violencia intrafamiliar","No fue derivada a seguimiento","NS/NC",""
"2019-05-07","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Otro (Relaciones de familia)","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-07","SEGURIDAD SOCIAL (PROTECCIÓN SOCIAL)","Programas sociales, Servicios comunitarios y sociales de ONGs","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-07","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Mendoza","50"
"2019-05-07","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivada a seguimiento","Cordoba","14"
"2019-05-07","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivada a seguimiento","Cordoba","14"
"2019-05-08","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Cordoba","14"
"2019-05-08","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Cordoba","14"
"2019-05-09","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivada a seguimiento","Mendoza","50"
"2019-05-09","VIOLENCIA DE GÉNERO","Física","No fue derivada a seguimiento","Cordoba","14"
"2019-05-10","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-10","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-10","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-10","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-10","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-05-10","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-05-10","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-10","SALUD","Salud mental","No fue derivada a seguimiento","Santiago  del Estero",""
"2019-05-10","SALUD","Salud mental","No fue derivada a seguimiento","NS/NC",""
"2019-05-10","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-10","SALUD","Salud mental","No fue derivada a seguimiento","NS/NC",""
"2019-05-10","SALUD","Salud mental","No fue derivada a seguimiento","NS/NC",""
"2019-05-10","SALUD","Salud mental","No fue derivada a seguimiento","NS/NC",""
"2019-05-10","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-05-11","RELACIONES DE FAMILIA","Violencia intrafamiliar","No fue derivada a seguimiento","NS/NC",""
"2019-05-11","VIOLENCIA DE GÉNERO","Sexual","No fue derivada a seguimiento","NS/NC",""
"2019-05-11","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-13","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Cordoba","14"
"2019-05-13","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","NS/NC",""
"2019-05-13","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","NS/NC",""
"2019-05-13","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-05-14","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-05-14","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivada a seguimiento","NS/NC",""
"2019-05-14","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivada a seguimiento","NS/NC",""
"2019-05-14","VÍCTIMA DE DELITO","CONTRA LA ADMINISTRACIÓN PÚBLICA: Abuso de autoridad, violación a los deberes de funcionario público, denegación o de justicia","No fue derivada a seguimiento","Tucuman","90"
"2019-05-14","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Seguimiento concluido sin derivación","NS/NC",""
"2019-05-14","RELACIONES DE FAMILIA","Familiar con consumo problemático, adicciones o alcoholismo, Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar, Otro (Relaciones de familia)","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-14","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Seguimiento concluido sin derivación","Neuquén","58"
"2019-05-14","TRABAJO","Cuestiones salariales o de registración, Malas condiciones de trabajo, incluida la inseguridad, salubridad o problemas de medio ambiente","No fue derivada a seguimiento","NS/NC",""
"2019-05-14","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-15","RELACIONES DE FAMILIA","Violencia intrafamiliar","Organismo de niñez","NS/NC",""
"2019-05-15","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","Organismo de niñez","Cordoba","14"
"2019-05-15","VIVIENDA","Otro (Vivienda)","No fue derivada a seguimiento","Mendoza","50"
"2019-05-15","VIVIENDA","Otro (Vivienda)","No fue derivada a seguimiento","Mendoza","50"
"2019-05-16","VÍCTIMA DE DELITO","CONTRA LA ADMINISTRACIÓN PÚBLICA: Abuso de autoridad, violación a los deberes de funcionario público, denegación o de justicia","No fue derivada a seguimiento","NS/NC",""
"2019-05-16","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivada a seguimiento","Santiago  del Estero",""
"2019-05-16","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivada a seguimiento","Santiago  del Estero",""
"2019-05-16","RELACIONES DE FAMILIA","Testamentos, sucesiones y trámites relativos al fallecimiento de una persona","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-18","JUSTICIA PENAL","Situación de personas investigadas, imputadas o procesadas penalmente","No fue derivada a seguimiento","NS/NC",""
"2019-05-18","TRABAJO","Otro (Trabajo)","No fue derivada a seguimiento","NS/NC",""
"2019-05-18","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-05-20","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
