"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_indec_id"
"2019-04-01","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-01","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-01","JUSTICIA PENAL","Irregularidades en el proceso penal","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-01","JUSTICIA PENAL","Otro  (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-01","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-01","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Seguimiento concluido sin derivación","Catamarca","10"
"2019-04-01","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","NS/NC",""
"2019-04-01","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-01","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-01","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-02","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar, Otro (Relaciones de familia)","Informe derivado a un organismo de niñez","NS/NC",""
"2019-04-02","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","CABA","02"
"2019-04-02","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-02","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-03","RELACIONES DE FAMILIA","Deberes de responsabilidad parental o familiar","No fue derivado a seguimiento","NS/NC",""
"2019-04-04","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Salta ","66"
"2019-04-04","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Salta ","66"
"2019-04-04","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-04","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-04","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","NS/NC",""
"2019-04-04","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","NS/NC",""
"2019-04-04","VIVIENDA","Desalojo u ocupación de vivienda","No fue derivado a seguimiento","NS/NC",""
"2019-04-05","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivado a seguimiento","NS/NC",""
"2019-04-05","SALUD","Salud Mental","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-05","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-05","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-05","RELACIONES DE FAMILIA","Violencia intrafamiliar","Otros organismos","Entre Rios","30"
"2019-04-05","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-05","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-06","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-06","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivado a seguimiento","NS/NC",""
"2019-04-07","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Neuquen","58"
"2019-04-08","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","NS/NC",""
"2019-04-08","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-08","SALUD","Acceso a servicios públicos de salud","No fue derivado a seguimiento","NS/NC",""
"2019-04-08","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-08","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-09","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","Córdoba","14"
"2019-04-09","RELACIONES DE FAMILIA","Violencia intrafamiliar","Informe derivado a un organismo de niñez","Santa Fe","82"
"2019-04-09","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-10","DERECHOS DE USUARIOS/AS Y CONSUMIDORES/AS","Empresas de telecomunicación (TV, Cable, Internet, telefonía o celulares)","No fue derivado a seguimiento","Santiago del Estero ","86"
"2019-04-10","DERECHOS DE USUARIOS/AS Y CONSUMIDORES/AS","Empresas de telecomunicación (TV, Cable, Internet, telefonía o celulares)","No fue derivado a seguimiento","Santiago del Estero ","86"
"2019-04-10","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Córdoba","14"
"2019-04-10","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Córdoba","14"
"2019-04-11","VIOLENCIA DE GÉNERO","Física","No fue derivado a seguimiento","Mendoza","50"
"2019-04-11","VIOLENCIA DE GÉNERO","Física","No fue derivado a seguimiento","Mendoza","50"
