"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-01-02","Personas privadas de su libertad","Catamarca","No"
"2018-01-02","Violencia de género","Jujuy","No"
"2018-01-02","Salud mental","Santa Fe","No"
"2018-01-02","Salud mental","Santa Fe","No"
"2018-01-02","Salud mental","Santa Fe","No"
"2018-01-03","Salud mental","Santa Fe","No"
"2018-01-03","Niñez y adolescencia en riesgo","Córdoba","Sí"
"2018-01-03","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-03","Consulta por judicializaciones","Santiago del Estero","No"
"2018-01-03","Trata de personas","Buenos Aires","Sí"
"2018-01-03","Niñez y adolescencia en riesgo","Sin dato/no contesta","No"
"2018-01-03","Niñez y adolescencia en riesgo","Sin dato/no contesta","No"
"2018-01-03","Trata de personas","Santa Fe","No"
"2018-01-04","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-04","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-01-04","Violencia familiar","Santa Fe","No"
"2018-01-04","Violencia de género","Río Negro","No"
"2018-01-04","Salud mental","Chubut","No"
"2018-01-04","Consulta por judicializaciones","Santiago del Estero","No"
"2018-01-04","Consulta por judicializaciones","Mendoza","No"
"2018-01-05","Trata de personas","Sin datos","No"
"2018-01-05","Violencia de género","Mendoza","No"
"2018-01-06","Violencia de género","Buenos Aires","Sí"
"2018-01-08","Niñez y adolescencia en riesgo","Misiones","No"
"2018-01-08","Consulta por judicializaciones","Buenos Aires","No"
"2018-01-08","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-01-08","Violencia de género","Santa Fe","No"
"2018-01-08","Consulta por judicializaciones","Córdoba","No"
"2018-01-08","Trata de personas","Córdoba","No"
"2018-01-08","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-01-08","Violencia de género","Buenos Aires","No"
"2018-01-08","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-08","Discapacidad","Buenos Aires","No"
"2018-01-09","Adicciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-09","Violencia familiar","Misiones","No"
"2018-01-09","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-09","Adicciones","Buenos Aires","No"
"2018-01-09","Consulta por judicializaciones","San Luis","No"
