"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-04-01","Trata de personas","Mendoza","No"
"2018-04-01","Trata de personas","Entre Ríos","Sí"
"2018-04-02","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-04-02","Otros","Buenos Aires","No"
"2018-04-02","Otros","Buenos Aires","No"
"2018-04-02","Trata de personas","Santa Fe","No"
"2018-04-03","Otros","Buenos Aires","No"
"2018-04-03","Niñez y adolescencia en riesgo","Neuquén","Sí"
"2018-04-03","Consulta por judicializaciones","Buenos Aires","No"
"2018-04-03","Violencia familiar","Ciudad Autónoma de Buenos Aires","No"
"2018-04-03","Violencia de género","Buenos Aires","No"
"2018-04-03","Otros","Misiones","No"
"2018-04-03","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-04-03","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-04-04","Salud mental","Entre Ríos","No"
"2018-04-04","Salud mental","Buenos Aires","No"
"2018-04-04","Salud mental","Ciudad Autónoma de Buenos Aires","No"
"2018-04-04","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-04-04","Violencia de género","San Luis","Sí"
"2018-04-04","Violencia familiar","Misiones","No"
"2018-04-04","Violencia familiar","Buenos Aires","No"
"2018-04-04","Salud mental","Buenos Aires","No"
"2018-04-05","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-04-05","Niñez y adolescencia en riesgo","Córdoba","No"
"2018-04-05","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-04-05","Niñez y adolescencia en riesgo","Mendoza","No"
"2018-04-05","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-04-05","Otros","Santa Fe","No"
"2018-04-06","Consulta por judicializaciones","Buenos Aires","No"
"2018-04-06","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-04-06","Salud mental","Entre Ríos","No"
"2018-04-06","Otros","Santiago del Estero","Sí"
"2018-04-06","Niñez y adolescencia en riesgo","Río Negro","No"
"2018-04-06","Trata de personas","Misiones","No"
"2018-04-06","Niñez y adolescencia en riesgo","Mendoza","Sí"
"2018-04-07","Otros","Santa Fe","No"
"2018-04-07","Trata de personas","Buenos Aires","No"
"2018-04-08","Trata de personas","Sin dato/no contesta","No"
"2018-04-09","Trata de personas","Tucumán","No"
"2018-04-09","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-04-09","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-04-09","Violencia familiar","Buenos Aires","No"
"2018-04-09","Otros","Sin dato/no contesta","No"
"2018-04-09","Salud mental","Buenos Aires","No"
"2018-04-10","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-04-10","Violencia familiar","Chaco","No"
"2018-04-10","Violencia familiar","Córdoba","No"
"2018-04-10","Consulta por judicializaciones","San Juan","No"
"2018-04-10","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-04-10","Trabajo no registrado","Corrientes","No"
"2018-04-11","Niñez y adolescencia en riesgo","Mendoza","No"
