"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-12-03","Otros","Tierra del Fuego","No fue derivada a seguimiento","94"
"2018-12-03","Adicciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-04","Niñez y adolescencia en riesgo","Entre Ríos","Informe derivado a un organismo de niñez","30"
"2018-12-04","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-12-04","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-12-05","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-12-06","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-06","Violencia familiar","Chubut","No fue derivada a seguimiento","26"
"2018-12-06","Niñez y adolescencia en riesgo","Buenos Aires","Informe derivado a un organismo de niñez","06"
"2018-12-06","Consulta por judicializaciones","Mendoza","No fue derivada a seguimiento","50"
"2018-12-07","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-07","Adicciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-07","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-07","Otros","Córdoba","No fue derivada a seguimiento","14"
"2018-12-08","Personas privadas de su libertad","Tierra del Fuego","No fue derivada a seguimiento","94"
"2018-12-08","Violencia familiar","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-12-09","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-10","Niñez y adolescencia en riesgo","Chaco","Informe derivado a un organismo de niñez","22"
"2018-12-11","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-12-10","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-11","Violencia familiar","Santa Fe","No fue derivada a seguimiento","82"
"2018-12-11","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-12-12","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-12-12","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-12-13","Violencia familiar","Misiones","No fue derivada a seguimiento","54"
"2018-12-13","Trata de personas","Córdoba","No fue derivada a seguimiento","14"
"2018-12-14","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-14","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-14","Violencia familiar","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-12-15","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-16","Violencia de género","Tucumán","No fue derivada a seguimiento","90"
"2018-12-16","Niñez y adolescencia en riesgo","Córdoba","No fue derivada a seguimiento","14"
"2018-12-17","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-12-14","Violencia de género","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-12-18","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-17","Salud mental","Salta","No fue derivada a seguimiento","66"
"2018-12-18","Violencia de género","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-12-18","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-19","Niñez y adolescencia en riesgo","Santa Fe","No fue derivada a seguimiento","82"
"2018-12-19","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-12-19","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-19","Otros","Río Negro","No fue derivada a seguimiento","62"
"2018-12-19","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-19","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-19","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-12-20","Otros","Internet","No fue derivada a seguimiento",""
"2018-12-20","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-23","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-23","Adultos mayores","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-23","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-25","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-25","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-26","Otros","Chaco","No fue derivada a seguimiento","22"
"2018-12-26","Salud mental","Río Negro","No fue derivada a seguimiento","62"
"2018-12-26","Discapacidad","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-12-26","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-12-26","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-27","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-28","Salud mental","Mendoza","No fue derivada a seguimiento","50"
"2018-12-28","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-12-28","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-28","Trata de personas","Buenos Aires","En curso","06"
"2018-12-29","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-31","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-31","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-31","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-31","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-12-31","Trata de personas","Santa Fe","No fue derivada a seguimiento","82"
"2018-12-31","Salud mental","Salta","No fue derivada a seguimiento","66"
