"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-08-01","Personas privadas de su libertad","Catamarca","No fue derivada a seguimiento","10"
"2018-08-01","Trata de personas","Catamarca","No fue derivada a seguimiento","10"
"2018-08-01","Otros","Santa Fe","Se constituyó en denuncia","82"
"2018-08-01","Niñez y adolescencia en riesgo","Santa Fe","Informe derivado a un organismo de niñez","82"
"2018-08-02","Otros","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-02","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-02","Trabajo no registrado","Neuquén","No fue derivada a seguimiento","58"
"2018-08-03","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-04","Trata de personas","Córdoba","En curso","14"
"2018-08-04","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-05","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-06","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-06","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-06","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-22","Trata de personas","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-22","Violencia de género","Salta","No fue derivada a seguimiento","66"
"2018-08-07","Violencia familiar","Tucumán","No fue derivada a seguimiento","90"
"2018-08-07","Trata de personas","Jujuy","No fue derivada a seguimiento","38"
"2018-08-07","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-08","Consulta por judicializaciones","Mendoza","No fue derivada a seguimiento","50"
"2018-08-08","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-09","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-09","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-09","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-09","Consulta por judicializaciones","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-09","Otros","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-10","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-10","Otros","Tucumán","No fue derivada a seguimiento","90"
"2018-08-10","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-10","Otros","Entre Ríos","No fue derivada a seguimiento","30"
"2018-08-10","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-11","Salud mental","San Luis","No fue derivada a seguimiento","74"
"2018-08-11","Violencia familiar","Entre Ríos","No fue derivada a seguimiento","30"
"2018-08-11","Violencia familiar","Córdoba","No fue derivada a seguimiento","14"
"2018-08-12","Adultos mayores","Buenos Aires","En curso","06"
"2018-08-12","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-13","Adicciones","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-08-13","Trabajo no registrado","Río Negro","No fue derivada a seguimiento","62"
"2018-08-13","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-13","Niñez y adolescencia en riesgo","Santa Fe","Informe derivado a un organismo de niñez","82"
"2018-08-14","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-14","Trata de personas","Entre Ríos","No fue derivada a seguimiento","30"
"2018-08-14","Trata de personas","Ciudad Autónoma de Buenos Aires","Se constituyó en denuncia","02"
"2018-08-14","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-14","Trata de personas","Ciudad Autónoma de Buenos Aires","Se constituyó en denuncia","02"
"2018-08-15","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-15","Trata de personas","Otro país donde ocurre el hecho","No fue derivada a seguimiento",""
"2018-08-15","Trata de personas","Entre Ríos","No fue derivada a seguimiento","30"
"2018-08-16","Consulta por judicializaciones","Salta","No fue derivada a seguimiento","66"
"2018-08-16","Otros","Salta","No fue derivada a seguimiento","66"
"2018-08-16","Otros","Catamarca","No fue derivada a seguimiento","10"
"2018-08-17","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-17","Violencia de género","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-08-17","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-17","Consulta por judicializaciones","Salta","No fue derivada a seguimiento","66"
"2018-08-17","Trata de personas","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-18","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
