"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-03-01","Otros","Salta","No"
"2018-03-01","Trata de personas","Córdoba","No"
"2018-03-01","Discapacidad","Catamarca","No"
"2018-03-01","Trata de personas","Sin dato/no contesta","No"
"2018-03-02","Otros","Buenos Aires","No"
"2018-03-02","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-03-02","Adicciones","Buenos Aires","Sí"
"2018-03-02","Violencia de género","Buenos Aires","No"
"2018-03-02","Niñez y adolescencia en riesgo","Santa Fe","Sí"
"2018-03-02","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-03-02","Otros","Buenos Aires","No"
"2018-03-02","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-03-02","Otros","San Juan","No"
"2018-03-02","Violencia familiar","Buenos Aires","No"
"2018-03-03","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-03-03","Niñez y adolescencia en riesgo","Corrientes","No"
"2018-03-03","Violencia familiar","Buenos Aires","No"
"2018-03-03","Otros","Santa Fe","Sí"
"2018-03-04","Adultos mayores","Buenos Aires","No"
"2018-03-04","Niñez y adolescencia en riesgo","Río Negro","Sí"
"2018-03-05","Otros","Salta","No"
"2018-03-05","Consulta por judicializaciones","Córdoba","No"
"2018-03-05","Consulta por judicializaciones","Buenos Aires","No"
"2018-03-05","Adicciones","Ciudad Autónoma de Buenos Aires","No"
"2018-03-06","Violencia de género","Sin dato/no contesta","No"
"2018-03-06","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-03-06","Personas privadas de su libertad","Buenos Aires","No"
"2018-03-06","Salud mental","Sin dato/no contesta","No"
"2018-03-06","Violencia de género","Buenos Aires","No"
"2018-03-07","Otros","San Luis","No"
"2018-03-07","Salud mental","Entre Ríos","No"
"2018-03-07","Salud mental","Santiago del Estero","No"
"2018-03-07","Trata de personas","Buenos Aires","No"
"2018-03-08","Violencia familiar","Santa Fe","No"
"2018-03-07","Trata de personas","Santa Fe","No"
"2018-03-08","Violencia de género","Santa Fe","No"
"2018-03-08","Otros","Santa Fe","No"
"2018-03-08","Personas privadas de su libertad","Buenos Aires","No"
"2018-03-08","Otros","Buenos Aires","No"
"2018-03-08","Otros","Buenos Aires","No"
"2018-03-09","Otros","Santa Fe","No"
"2018-03-09","Trata de personas","San Luis","No"
"2018-03-09","Personas privadas de su libertad","Tucumán","No"
"2018-03-09","Salud mental","Buenos Aires","No"
"2018-03-09","Violencia de género","Buenos Aires","No"
"2018-03-10","Salud mental","Ciudad Autónoma de Buenos Aires","No"
"2018-03-10","Violencia familiar","Buenos Aires","Sí"
"2018-03-10","Consulta por judicializaciones","Santa Fe","No"
"2018-03-11","Trata de personas","Sin dato/no contesta","No"
"2018-03-11","Consulta por judicializaciones","Sin dato/no contesta","No"
"2018-03-11","Niñez y adolescencia en riesgo","Mendoza","No"
"2018-03-11","Violencia de género","Mendoza","No"
"2018-03-12","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-03-12","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-03-12","Violencia de género","Mendoza","Sí"
"2018-03-12","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-03-12","Niñez y adolescencia en riesgo","Santa Fe","No"
"2018-03-12","Salud mental","Sin dato/no contesta","No"
"2018-03-12","Adultos mayores","Buenos Aires","No"
"2018-03-12","Otros","Buenos Aires","No"
"2018-03-13","Consulta por judicializaciones","Buenos Aires","No"
"2018-03-13","Otros","Jujuy","No"
"2018-03-13","Consulta por judicializaciones","Santa Fe","No"
"2018-03-13","Consulta por judicializaciones","Sin dato/no contesta","No"
"2018-03-13","Trata de personas","Misiones","No"
"2018-03-13","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-03-14","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-03-15","Niñez y adolescencia en riesgo","Neuquén","No"
"2018-03-15","Consulta por judicializaciones","Buenos Aires","No"
"2018-03-15","Niñez y adolescencia en riesgo","Córdoba","No"
"2018-03-16","Consulta por judicializaciones","Entre Ríos","No"
"2018-03-16","Consulta por judicializaciones","Buenos Aires","No"
"2018-03-16","Otros","Tucumán","No"
"2018-03-16","Otros","Otro país donde ocurre el hecho","No"
"2018-03-16","Trata de personas","Buenos Aires","No"
"2018-03-17","Trata de personas","Otro país donde ocurre el hecho","No"
"2018-03-18","Trata de personas","Mendoza","No"
"2018-03-18","Adicciones","Chaco","No"
"2018-03-18","Niñez y adolescencia en riesgo","Santa Fe","No"
"2018-03-19","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-03-19","Otros","Entre Ríos","No"
"2018-03-20","Violencia de género","Santa Fe","No"
"2018-03-20","Consulta por judicializaciones","Sin dato/no contesta","No"
"2018-03-20","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-03-20","Trabajo no registrado","Tucumán","No"
"2018-03-20","Violencia de género","Buenos Aires","No"
"2018-03-20","Violencia de género","Santa Fe","No"
"2018-03-20","Trata de personas","Sin dato/no contesta","No"
"2018-03-20","Trata de personas","Buenos Aires","No"
"2018-03-21","Trata de personas","Buenos Aires","No"
"2018-03-21","Discapacidad","Buenos Aires","Sí"
"2018-03-21","Niñez y adolescencia en riesgo","Córdoba","No"
"2018-03-21","Adultos mayores","Buenos Aires","No"
"2018-03-22","Trata de personas","Buenos Aires","No"
"2018-03-22","Trata de personas","Córdoba","No"
"2018-03-22","Salud mental","Sin dato/no contesta","No"
