"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-10-02","Violencia familiar","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-01","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-01","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-01","Trata de personas","Santa Fe","En curso","82"
"2018-10-01","Violencia familiar","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-02","Otros","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-02","Niñez y adolescencia en riesgo","Salta","Se constituyó en denuncia","66"
"2018-10-03","Violencia de género","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-10-02","Trata de personas","Misiones","No fue derivada a seguimiento","54"
"2018-10-02","Consulta por judicializaciones","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-03","Consulta por judicializaciones","Entre Ríos","No fue derivada a seguimiento","30"
"2018-10-03","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-03","Niñez y adolescencia en riesgo","Santa Fe","Informe derivado a un organismo de niñez","82"
"2018-10-04","Adultos mayores","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-04","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-04","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-04","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-04","Violencia familiar","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-04","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-04","Violencia de género","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-05","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-05","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-05","Consulta por judicializaciones","San Luis","No fue derivada a seguimiento","74"
"2018-10-05","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-05","Trata de personas","San Luis","No fue derivada a seguimiento","74"
"2018-10-05","Violencia de género","Mendoza","En curso","50"
"2018-10-06","Trata de personas","Misiones","No fue derivada a seguimiento","54"
"2018-10-06","Violencia de género","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-08","Trata de personas","Buenos Aires","Informe derivado a un organismo de niñez","06"
"2018-10-08","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-08","Trata de personas","Chubut","No fue derivada a seguimiento","26"
"2018-10-08","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-08","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-09","Violencia institucional","Jujuy","No fue derivada a seguimiento","38"
"2018-10-09","Otros","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-10-09","Otros","Buenos Aires","Informe derivado a un organismo de niñez","06"
"2018-10-09","Niñez y adolescencia en riesgo","Tucumán","No fue derivada a seguimiento","90"
"2018-10-09","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-09","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-09","Niñez y adolescencia en riesgo","Santa Fe","Informe derivado a un organismo de niñez","82"
"2018-10-09","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-09","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-09","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-09","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-10","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-10","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-10","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-10","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-10","Niñez y adolescencia en riesgo","Neuquén","No fue derivada a seguimiento","58"
"2018-10-10","Violencia de género","Mendoza","No fue derivada a seguimiento","50"
"2018-10-11","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-11","Trata de personas","Jujuy","No requirió derivación. Seguimiento cerrado","38"
"2018-10-11","Trata de personas","Ciudad Autónoma de Buenos Aires","No requirió derivación. Seguimiento cerrado","02"
"2018-10-11","Discriminación","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-12","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-12","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-12","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-12","Violencia de género","Mendoza","No fue derivada a seguimiento","50"
"2018-10-12","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-12","Otros","Chaco","No fue derivada a seguimiento","22"
"2018-10-13","Violencia familiar","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-14","Trata de personas","Chubut","Se constituyó en denuncia","26"
"2018-10-15","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","Informe derivado a un organismo de niñez","02"
"2018-10-15","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-15","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-15","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-16","Niñez y adolescencia en riesgo","Buenos Aires","Informe derivado a un organismo de niñez","06"
"2018-10-16","Otros","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-10-16","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-16","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-17","Niñez y adolescencia en riesgo","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-17","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-17","Niñez y adolescencia en riesgo","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-17","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-17","Niñez y adolescencia en riesgo","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-17","Trata de personas","Chaco","No fue derivada a seguimiento","22"
"2018-10-17","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-17","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-17","Adultos mayores","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-17","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-17","Salud mental","Entre Ríos","No fue derivada a seguimiento","30"
"2018-10-18","Consulta por judicializaciones","Misiones","No fue derivada a seguimiento","54"
"2018-10-18","Violencia familiar","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-18","Trata de personas","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-18","Consulta por judicializaciones","Buenos Aires","En curso","06"
"2018-10-18","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
