"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-05-01","Sin datos","Neuquén","Sin datos"
"2018-05-01","Sin datos","La Rioja","Informe derivado a un organismo de niñez"
"2018-05-02","Sin datos","Neuquén","Sí"
"2018-05-02","Sin datos","Chaco","Sin datos"
"2018-05-02","Sin datos","La Pampa","Sí"
"2018-05-02","Sin datos","La Rioja","Sí"
"2018-05-02","Sin datos","Jujuy","Sin datos"
"2018-05-02","Sin datos","Catamarca","No requirió derivación. Seguimiento cerrado"
"2018-05-02","Sin datos","La Rioja","No"
"2018-05-03","Salud mental","Buenos Aires","Sin datos"
"2018-05-03","Sin datos","La Rioja","Sin datos"
"2018-05-03","Salud mental","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-05-03","Sin datos","Catamarca","Sin datos"
"2018-05-04","Sin datos","La Rioja","Sin datos"
"2018-05-04","Salud mental","Córdoba","No requirió derivación. Seguimiento cerrado"
"2018-05-04","Sin datos","La Rioja","Sí"
"2018-05-04","Sin datos","Chaco","No requirió derivación. Seguimiento cerrado"
"2018-05-05","Sin datos","Mendoza","Informe derivado a un organismo de tercera edad"
"2018-05-05","Sin datos","Ciudad Autónoma de Buenos Aires","No"
"2018-05-06","Sin datos","La Pampa","Sin datos"
"2018-05-06","Sin datos","Chaco","Sin datos"
"2018-05-06","Sin datos","La Pampa","Sin datos"
"2018-05-06","Sin datos","La Pampa","Sí"
"2018-05-06","Sin datos","Chaco","Sin datos"
"2018-05-07","Sin datos","La Rioja","Sí"
"2018-05-07","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-05-07","Sin datos","Neuquén","No requirió derivación. Seguimiento cerrado"
"2018-05-07","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-05-07","Sin datos","La Rioja","Sin datos"
"2018-05-07","Sin datos","Ciudad Autónoma de Buenos Aires","Sí"
"2018-05-07","Sin datos","Catamarca","Otros"
"2018-05-07","Sin datos","Neuquén","Sí"
"2018-05-07","Sin datos","Buenos Aires","Sí"
"2018-05-08","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-05-08","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-05-08","Sin datos","Chaco","No"
"2018-05-08","Sin datos","Neuquén","No"
"2018-05-08","Sin datos","Ciudad Autónoma de Buenos Aires","No requirió derivación. Seguimiento cerrado"
"2018-05-08","Sin datos","Neuquén","Sí"
"2018-05-09","Sin datos","Neuquén","Informe derivado a un organismo de niñez"
"2018-05-09","Sin datos","Chaco","No requirió derivación. Seguimiento cerrado"
"2018-05-09","Sin datos","Ciudad Autónoma de Buenos Aires","No"
"2018-05-09","Sin datos","La Pampa","No"
"2018-05-09","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-05-10","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-05-10","Salud mental","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-05-10","Salud mental","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-05-10","Sin datos","La Pampa","Sí"
"2018-05-10","Sin datos","Buenos Aires","Sí"
"2018-05-10","Sin datos","La Pampa","Sin datos"
"2018-05-11","Sin datos","Entre Ríos","No requirió derivación. Seguimiento cerrado"
"2018-05-11","Salud mental","La Pampa","Sí"
"2018-05-11","Sin datos","Buenos Aires","Sin datos"
"2018-05-11","Salud mental","Buenos Aires","No requirió derivación. Seguimiento cerrado"
"2018-05-11","Sin datos","La Pampa","Sí"
"2018-05-11","Sin datos","La Pampa","Sin datos"
"2018-05-11","Salud mental","La Pampa","Sin datos"
"2018-05-12","Salud mental","Chaco","Sin datos"
"2018-05-13","Salud mental","Jujuy","Sin datos"
"2018-05-14","Sin datos","La Pampa","Sin datos"
"2018-05-14","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-05-14","Sin datos","Jujuy","Informe derivado a un organismo de niñez"
"2018-05-15","Sin datos","La Rioja","Otros"
"2018-05-15","Sin datos","Neuquén","Sin datos"
"2018-05-15","Sin datos","Neuquén","No requirió derivación. Seguimiento cerrado"
"2018-05-15","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-05-15","Sin datos","Neuquén","No"
"2018-05-15","Sin datos","Neuquén","No"
"2018-05-15","Sin datos","Ciudad Autónoma de Buenos Aires","No requirió derivación. Seguimiento cerrado"
"2018-05-16","Sin datos","Ciudad Autónoma de Buenos Aires","Sin datos"
"2018-05-16","Sin datos","Neuquén","No"
"2018-05-16","Sin datos","Entre Ríos","No requirió derivación. Seguimiento cerrado"
