"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-02-01","Violencia de género","Santa Fe","No"
"2018-02-01","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-02-01","Trata de personas","Buenos Aires","No"
"2018-02-01","Consulta por judicializaciones","Salta","No"
"2018-02-01","Violencia institucional","Sin dato/no contesta","No"
"2018-02-02","Consulta por judicializaciones","Jujuy","No"
"2018-02-02","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-02-02","Violencia familiar","Río Negro","No"
"2018-02-02","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-02-02","Violencia familiar","Buenos Aires","No"
"2018-02-03","Trata de personas","Sin dato/no contesta","No"
"2018-02-03","Violencia de género","Santa Cruz","No"
"2018-02-03","Violencia de género","Tucumán","No"
"2018-02-03","Adultos mayores","Buenos Aires","No"
"2018-02-03","Violencia de género","Santa Cruz","No"
"2018-02-03","Trata de personas","Buenos Aires","No"
"2018-02-03","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-02-03","Violencia de género","Buenos Aires","No"
"2018-02-04","Violencia de género","Neuquén","No"
"2018-02-04","Consulta por judicializaciones","Córdoba","No"
"2018-02-04","Violencia de género","Neuquén","No"
"2018-02-04","Trata de personas","La Rioja","No"
"2018-02-04","Otros","Salta","No"
"2018-02-05","Violencia de género","Jujuy","No"
"2018-02-05","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-02-05","Consulta por judicializaciones","Buenos Aires","No"
"2018-02-05","Consulta por judicializaciones","Buenos Aires","No"
"2018-02-05","Trata de personas","Buenos Aires","No"
"2018-02-05","Violencia de género","Buenos Aires","Sí"
"2018-02-06","Consulta por judicializaciones","Buenos Aires","No"
"2018-02-06","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-02-06","Violencia de género","Buenos Aires","No"
"2018-02-06","Consulta por judicializaciones","Buenos Aires","No"
"2018-02-07","Adultos mayores","Córdoba","No"
"2018-02-07","Trata de personas","San Luis","No"
"2018-02-07","Violencia familiar","San Luis","No"
"2018-02-08","Discriminación","Buenos Aires","Sí"
"2018-02-08","Discriminación","Misiones","No"
"2018-02-08","Trata de personas","Tucumán","No"
"2018-02-08","Trabajo no registrado","Mendoza","No"
"2018-02-08","Trata de personas","Mendoza","No"
"2018-02-08","Trata de personas","Buenos Aires","No"
"2018-02-08","Personas privadas de su libertad","Córdoba","No"
"2018-02-08","Adicciones","Catamarca","Sí"
"2018-02-08","Adicciones","Santa Fe","No"
"2018-02-09","Trata de personas","Sin dato/no contesta","No"
"2018-02-09","Trabajo no registrado","Jujuy","No"
"2018-02-09","Violencia laboral","Santiago del Estero","No"
"2018-02-09","Salud mental","Buenos Aires","No"
"2018-02-09","Trata de personas","Buenos Aires","No"
"2018-02-09","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-02-11","Violencia de género","Salta","No"
"2018-02-12","Trata de personas","Buenos Aires","No"
"2018-02-12","Discriminación","Buenos Aires","Sí"
"2018-02-12","Trata de personas","Entre Ríos","No"
"2018-02-12","Trata de personas","Entre Ríos","No"
"2018-02-12","Niñez y adolescencia en riesgo","Santa Fe","Sí"
"2018-02-13","Adultos mayores","Misiones","No"
"2018-02-13","Consulta por judicializaciones","Mendoza","No"
"2018-02-13","Trata de personas","Sin dato/no contesta","No"
"2018-02-13","Violencia de género","Buenos Aires","No"
"2018-02-14","Adultos mayores","Misiones","No"
"2018-02-14","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-02-14","Salud mental","Salta","No"
"2018-02-15","Trata de personas","Buenos Aires","Sí"
"2018-02-15","Trata de personas","Buenos Aires","Sí"
"2018-02-15","Trata de personas","Tucumán","No"
"2018-02-15","Trata de personas","Jujuy","No"
"2018-02-16","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-02-16","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-16","Salud mental","Sin dato/no contesta","No"
"2018-02-16","Niñez y adolescencia en riesgo","Santa Fe","No"
"2018-02-17","Salud mental","Sin dato/no contesta","No"
"2018-02-17","Salud mental","Buenos Aires","Sí"
"2018-02-17","Salud mental","Buenos Aires","No"
"2018-02-17","Trata de personas","Tucumán","No"
"2018-02-18","Salud mental","Mendoza","No"
"2018-02-18","Adultos mayores","Mendoza","No"
"2018-02-18","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-21","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-19","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-19","Consulta por judicializaciones","Buenos Aires","No"
"2018-02-19","Consulta por judicializaciones","Buenos Aires","No"
"2018-02-20","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-20","Trabajo no registrado","Buenos Aires","No"
"2018-02-20","Trabajo no registrado","Neuquén","No"
"2018-02-20","Salud mental","Sin dato/no contesta","No"
"2018-02-20","Otros","Sin dato/no contesta","No"
"2018-02-21","Adultos mayores","Santa Fe","No"
"2018-02-21","Trata de personas","Sin dato/no contesta","No"
"2018-02-21","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-02-21","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-02-21","Trata de personas","Tucumán","No"
"2018-02-21","Adultos mayores","Neuquén","No"
"2018-02-21","Consulta por judicializaciones","Tucumán","No"
"2018-02-21","Violencia familiar","Ciudad Autónoma de Buenos Aires","No"
"2018-02-22","Salud mental","Río Negro","No"
"2018-02-22","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-02-22","Consulta por judicializaciones","Santiago del Estero","No"
"2018-02-22","Trata de personas","Santa Fe","No"
"2018-02-22","Trata de personas","Buenos Aires","No"
"2018-02-22","Trata de personas","Sin dato/no contesta","No"
"2018-02-22","Trata de personas","Buenos Aires","No"
"2018-02-23","Consulta por judicializaciones","Buenos Aires","No"
"2018-02-23","Niñez y adolescencia en riesgo","Sin dato/no contesta","No"
"2018-02-23","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-23","Trabajo no registrado","Buenos Aires","No"
