"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-07-01","Trata de personas","Otro país donde ocurre el hecho","No fue derivada a seguimiento",""
"2018-07-01","Adicciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-01","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-01","Consulta por judicializaciones","Santa Fe","No fue derivada a seguimiento","82"
"2018-07-02","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-02","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-03","Trabajo no registrado","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-04","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-04","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-04","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-05","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-05","Violencia familiar","Tucumán","No requirió derivación. Seguimiento cerrado","90"
"2018-07-06","Trata de personas","Mendoza","No fue derivada a seguimiento","50"
"2018-07-06","Niñez y adolescencia en riesgo","Buenos Aires","Informe derivado a un organismo de discapacidad","06"
"2018-07-06","Niñez y adolescencia en riesgo","Neuquén","No fue derivada a seguimiento","58"
"2018-07-09","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-09","Otros","Santa Fe","No fue derivada a seguimiento","82"
"2018-07-09","Adultos mayores","Corrientes","No fue derivada a seguimiento","18"
"2018-07-10","Consulta por judicializaciones","Mendoza","No fue derivada a seguimiento","50"
"2018-07-10","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-10","Personas privadas de su libertad","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-10","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-11","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-11","Consulta por judicializaciones","Mendoza","No fue derivada a seguimiento","50"
"2018-07-11","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-11","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-11","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","En curso","02"
"2018-07-12","Violencia familiar","Chaco","En curso","22"
"2018-07-12","Adultos mayores","Mendoza","Se constituyó en denuncia","50"
"2018-07-12","Violencia familiar","Santa Fe","En curso","82"
"2018-07-12","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-12","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-12","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-12","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-13","Salud mental","Buenos Aires","En curso","06"
"2018-07-13","Niñez y adolescencia en riesgo","Tucumán","No fue derivada a seguimiento","90"
"2018-07-13","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-13","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-16","Salud mental","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-07-16","Otros","Salta","No fue derivada a seguimiento","66"
"2018-07-17","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-17","Trabajo no registrado","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-17","Trabajo no registrado","Santa Fe","No fue derivada a seguimiento","82"
"2018-07-17","Consulta por judicializaciones","Tierra del Fuego","No fue derivada a seguimiento","94"
"2018-07-17","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-17","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-17","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-18","Personas privadas de su libertad","Córdoba","No fue derivada a seguimiento","14"
"2018-07-18","Personas privadas de su libertad","Catamarca","No fue derivada a seguimiento","10"
"2018-07-18","Consulta por judicializaciones","Mendoza","No fue derivada a seguimiento","50"
"2018-07-19","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-19","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-21","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-21","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-21","Niñez y adolescencia en riesgo","Corrientes","No fue derivada a seguimiento","18"
"2018-07-22","Trata de personas","Santa Fe","No fue derivada a seguimiento","82"
"2018-07-22","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-23","Otros","Chaco","No fue derivada a seguimiento","22"
"2018-07-24","Niñez y adolescencia en riesgo","Santa Fe","Informe derivado a un organismo de niñez","82"
"2018-07-24","Trata de personas","Chaco","No requirió derivación. Seguimiento cerrado","22"
"2018-07-24","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-24","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-24","Niñez y adolescencia en riesgo","Santa Fe","No fue derivada a seguimiento","82"
"2018-07-25","Trabajo no registrado","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-25","Niñez y adolescencia en riesgo","Corrientes","No fue derivada a seguimiento","18"
"2018-07-26","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-26","Salud mental","Neuquén","No fue derivada a seguimiento","58"
"2018-07-26","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-26","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-26","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-07-26","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-26","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-26","Discapacidad","Santa Fe","En curso","82"
"2018-07-26","Salud mental","Jujuy","No fue derivada a seguimiento","38"
"2018-07-27","Trata de personas","Sin dato/no contesta","En curso",""
"2018-07-27","Otros","Misiones","No fue derivada a seguimiento","54"
"2018-07-27","Otros","Buenos Aires","En curso","06"
"2018-07-27","Personas privadas de su libertad","Entre Ríos","No fue derivada a seguimiento","30"
"2018-07-27","Otros","Santa Fe","No fue derivada a seguimiento","82"
"2018-07-27","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-27","Adultos mayores","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-27","Otros","Salta","No fue derivada a seguimiento","66"
"2018-07-28","Violencia familiar","San Luis","No fue derivada a seguimiento","74"
"2018-07-28","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-28","Consulta por judicializaciones","Córdoba","No fue derivada a seguimiento","14"
"2018-07-28","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
