"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-09-01","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-01","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-02","Otros","Chaco","No fue derivada a seguimiento","22"
"2018-09-02","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-03","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-05","Niñez y adolescencia en riesgo","Jujuy","No fue derivada a seguimiento","38"
"2018-09-05","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-05","Otros","Jujuy","No fue derivada a seguimiento","38"
"2018-09-06","Trata de personas","San Juan","No fue derivada a seguimiento","70"
"2018-09-06","Consulta por judicializaciones","Chubut","No fue derivada a seguimiento","26"
"2018-09-06","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-07","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-07","Violencia de género","Buenos Aires","Otros organismos","06"
"2018-09-07","Violencia de género","Mendoza","No fue derivada a seguimiento","50"
"2018-09-07","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-07","Niñez y adolescencia en riesgo","Salta","No fue derivada a seguimiento","66"
"2018-09-08","Otros","Santa Fe","No fue derivada a seguimiento","82"
"2018-09-09","Violencia de género","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-10","Trata de personas","Río Negro","No fue derivada a seguimiento","62"
"2018-09-10","Violencia familiar","Santa Fe","En curso","82"
"2018-09-11","Salud mental","Santa Fe","No fue derivada a seguimiento","82"
"2018-09-11","Consulta por judicializaciones","Santiago del Estero","No fue derivada a seguimiento","86"
"2018-09-12","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-12","Otros","Chaco","No fue derivada a seguimiento","22"
"2018-09-12","Trata de personas","Santiago del Estero","No fue derivada a seguimiento","86"
"2018-09-12","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-12","Trata de personas","Santiago del Estero","No fue derivada a seguimiento","86"
"2018-09-12","Violencia de género","Mendoza","No fue derivada a seguimiento","50"
"2018-09-12","Salud mental","Buenos Aires","En curso","06"
"2018-09-13","Otros","Río Negro","En curso","62"
"2018-09-13","Violencia familiar","Buenos Aires","En curso","06"
"2018-09-13","Violencia familiar","Río Negro","No fue derivada a seguimiento","62"
"2018-09-13","Trata de personas","San Juan","No fue derivada a seguimiento","70"
"2018-09-13","Salud mental","Chubut","No fue derivada a seguimiento","26"
"2018-09-13","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-13","Personas privadas de su libertad","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-13","Niñez y adolescencia en riesgo","Santa Fe","No fue derivada a seguimiento","82"
"2018-09-13","Otros","Corrientes","No fue derivada a seguimiento","18"
"2018-09-14","Violencia de género","Sin dato/no contesta","No requirió derivación. Seguimiento cerrado",""
"2018-09-14","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-14","Violencia de género","Ciudad Autónoma de Buenos Aires","No requirió derivación. Seguimiento cerrado","02"
"2018-09-14","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-14","Trata de personas","Santiago del Estero","No fue derivada a seguimiento","86"
"2018-09-14","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-14","Personas privadas de su libertad","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-14","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-15","Trata de personas","Entre Ríos","No fue derivada a seguimiento","30"
"2018-09-16","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-16","Violencia de género","Formosa","No fue derivada a seguimiento","34"
"2018-09-16","Violencia de género","Buenos Aires","En curso","06"
"2018-09-16","Niñez y adolescencia en riesgo","Buenos Aires","En curso","06"
"2018-09-16","Consulta por judicializaciones","Corrientes","No fue derivada a seguimiento","18"
"2018-09-17","Otros","Varias víctimas oriundas de diversas provincias","No requirió derivación. Seguimiento cerrado",""
"2018-09-17","Niñez y adolescencia en riesgo","Santa Fe","Informe derivado a un organismo de niñez","82"
"2018-09-17","Trata de personas","Mendoza","No fue derivada a seguimiento","50"
"2018-09-17","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-17","Violencia de género","Mendoza","Otros organismos","50"
"2018-09-18","Niñez y adolescencia en riesgo","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-09-18","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-18","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-18","Trata de personas","Santa Cruz","No fue derivada a seguimiento","78"
"2018-09-18","Niñez y adolescencia en riesgo","Santa Fe","Informe derivado a un organismo de niñez","82"
"2018-09-18","Otros","Otro país donde ocurre el hecho","No fue derivada a seguimiento",""
"2018-09-19","Violencia institucional","Tucumán","En curso","90"
"2018-09-20","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-20","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-20","Violencia familiar","Tucumán","En curso","90"
"2018-09-20","Consulta por judicializaciones","Neuquén","No fue derivada a seguimiento","58"
"2018-09-20","Trata de personas","Santa Fe","No fue derivada a seguimiento","82"
"2018-09-20","Consulta por judicializaciones","Córdoba","No fue derivada a seguimiento","14"
"2018-09-20","Violencia institucional","Tucumán","En curso","90"
"2018-09-20","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-20","Salud mental","Santiago del Estero","No fue derivada a seguimiento","86"
