"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_id","victima_identificada_provincia_origen_id","denunciado_provincia_id","victimas_estimadas_provincia_hecho_id"
"2019-09-01","Nueva","No","No ","Víctima Directa","Femenino","NS/NC","NS/NC","Femenino","NS/NC","No","No","Catamarca","Argentina","Masculino","NS/NC","Córdoba","No","No","1","Femenino","NS/NC","Catamarca","Posible captación","Línea 145","NS/NC","Protex ","2019-09-01","","10","14","10"
"2019-09-01","Ampliatoria","No","No ","No es Víctima","Femenino","NS/NC","CABA","Femenino","16","No","No","CABA","Países Limítrofes","NS/NC","NS/NC","CABA","No","No","1","Femenino","16","CABA","Desaparición de personas","Línea 145","ONG-Organismos nacionales","Area Legal del PNR (ya Judicializada)","2019-09-01","02","02","02","02"
"2019-09-01","Nueva","no","No ","No es Víctima","Femenino","30","LA RIOJA","NS/NC","NS/NC","NO","NO","Córdoba","NS/NC","NS/NC","NS/NC","NS/NC","NO","NO","NS/NC","Femenino","NS/NC","Córdoba","Posible captación","Línea 145","NS/NC","Protex ","2019-09-01","46","14","","14"
"2019-09-02","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","16","No","No","Buenos Aires","Argentina","Femenino","42","CABA","No","No","NS/NC","Femenino","16","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-09-02","02","06","02","06"
"2019-09-02","Ampliatoria","No","Sí","Víctima Directa","Femenino","NS/NC","NS/NC","Femenino","16","No","No","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","Sí","No","NS/NC","Femenino","16","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-09-02","","","","06"
"2019-09-02","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Chubut","Femenino","NS/NC","No","No","NS/NC","Otros Países","NS/NC","NS/NC","NS/NC","Sí","No","7","Femenino","NS/NC","Chubut","Explotación Sexual","Línea 145","Boca en Boca","PSA y Area Legal del PNR","2019-09-02","26","","","26"
"2019-09-03","Nueva","no","Sí","No es Víctima","Femenino","48","Misiones","Femenino","NS/NC","NO","NO","Misiones","NS/NC","Masculino","NS/NC","Misiones","No","No","2","Femenino","NS/NC","Misiones","Explotación Sexual de N, N y A","Línea 145","Boca en Boca","Protex ","2019-09-03","54","54","54","54"
"2019-09-03","Nueva","No","No ","Víctima Indirecta","Masculino","NS/NC","Salta","Femenino","42","No","No","Salta","NS/NC","Masculino","NS/NC","Tierra del Fuego","No","No","1","Femenino","42","Tierra del Fuego","Posible captación","Línea 145","Boca en Boca","Protex ","2019-09-03","66","66","94","94"
"2019-09-04","Relacionada","No","No ","No es Víctima","Femenino","NS/NC","CABA","NS/NC","NS/NC","NO","NO","NS/NC","NS/NC","Masculino","NS/NC","CABA","No","No","NS/NC","NS/NC","NS/NC","CABA","Explotación Sexual","Correo Electrónico","NS/NC","Area Legal para judicializar","2019-09-04","02","","02","02"
"2019-09-04","Ampliatoria","No","No ","Víctima Indirecta","Masculino","NS/NC","Salta","Femenino","42","No","No","Salta","NS/NC","Masculino","NS/NC","Tierra del Fuego","No","No","1","Femenino","42","Tierra del Fuego","Posible captación","Línea 145","Boca en Boca","Protex ","2019-09-04","66","66","94","94"
"2019-09-04","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","Catamarca","Femenino","NS/NC","No","No","Catamarca","NS/NC","Masculino","36","Catamarca","No","No","1","Femenino","NS/NC","Catamarca","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-09-04","10","10","10","10"
"2019-09-04","Nueva","no","No ","No es Víctima","Masculino","NS/NC","Misiones","Femenino","NS/NC","No","No","Misiones","Argentina","Femenino","NS/NC","Río Negro","no","NO","1","Femenino","18","Río Negro","Explotación Sexual","Línea 145","NS/NC","Protex","2019-09-04","54","54","62","62"
"2019-09-04","Nueva","no","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Masculino","12","no","no","Buenos Aires","NS/NC","Masculino","NS/NC","Buenos Aires","NO","NO","2","Masculino","12","Buenos Aires","Explotación Laboral","Línea 145","NS/NC","Gendarmería y Protex","2019-09-04","06","06","06","06"
"2019-09-04","Nueva","No","No","No es Víctima","Femenino","50","Buenos Aires","Femenino","21","no","no","Buenos Aires","Argentina","Masculino","NS/NC","NS/NC","No","No","1","Femenino","21","Buenos Aires","Posible captación","Línea 145","NS/NC","Protex ","2019-09-05","06","06","","06"
"2019-09-05","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Neuquén","Masculino","NS/NC","No","No","NS/NC","Otros Países","Masculino","NS/NC","NS/NC","No","No","NS/NC","Presencia de M y H","NS/NC","Neuquén","Explotación Laboral","Línea 145","Boca en Boca","Protex ","2019-09-05","58","","","58"
"2019-09-05","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","16","No","No","Buenos Aires","NS/NC","Masculino","50","Buenos Aires","No","No","1","Femenino","16","Buenos Aires","Posible captación","Línea 145","NS/NC","Protex ","2019-09-05","06","06","06","06"
