"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_genero","llamante_rango_etario","llamante_provincia","llamante_es_victima","victima_genero","victima_rango_etario","victima_discapacidad","victima_embarazada","victima_provincia_origen","victima_cantidad","victima_nacionalidad","denunciado_genero","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","hecho_provincia","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_provincia_origen_indec_id","denunciado_provincia_indec_id","hecho_provincia_indec_id"
"2018-04-01","No","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Masculino","0 a 13","No","No","Sin dato/no contesta","1","No refiere","Masculino","Sin dato/no contesta","No","No","Tucumán","Traslado de personas","Línea 145","Campañas del programa","Fuerzas de seguridad federal","2018-04-01","","","","90"
"2018-04-01","No","No","No","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","14 a 16","No","No","Buenos Aires","1","No refiere","Masculino","Buenos Aires","No","No","Buenos Aires","Desaparición","Línea 145","Internet","Protex","2018-04-01","","06","06","06"
"2018-04-02","No","No","Sí","Femenino","0 a 13","Chubut","No","Femenino","26 a 40","No","No","Buenos Aires","2","No refiere","Femenino","Buenos Aires","Sí","No","Buenos Aires","Posible captación","Línea 145","Otros","Protex","2018-04-02","26","06","06","06"
"2018-04-02","No","No","No","Femenino","14 a 16","Sin dato/no contesta","No","Femenino","No refiere","No","No","Ciudad Autónoma de Buenos Aires","34","No refiere","No sabe/no contesta","Sin dato/no contesta","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Area legal ya judicializada","2018-04-02","","","",""
"2018-04-02","No","No","Sí","Femenino","14 a 16","Sin dato/no contesta","Sí","Femenino","18 a 25","No","No","Buenos Aires","2","No refiere","No sabe/no contesta","Sin dato/no contesta","No","No","Buenos Aires","Posible trata de personas (hecho indefinido)","Línea 145","Internet","Área legal para judicializar","2018-04-02","","06","","06"
"2018-04-02","No","No","Sí","Femenino","14 a 16","Sin dato/no contesta","Sí","No sabe/no contesta","No refiere","No","No","Sin dato/no contesta","0","No refiere","Masculino","Corrientes","No","No","Sin dato/no contesta","Explotación sexual","Línea 145","TV","Protex","2018-04-02","","","18",""
"2018-04-03","No","No","Sí","Femenino","14 a 16","Sin dato/no contesta","Sin datos","Femenino","14 a 16","No","No","Buenos Aires","2","No refiere","Femenino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Internet","Protex","2018-04-03","","06","06","06"
"2018-04-03","No","No","Sí","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","0 a 13","No","No","Buenos Aires","2","Argentina","Masculino","Buenos Aires","No","No","Buenos Aires","Venta de niños y otros delitos","Línea 145","ONG - Organismos nacionales","Fuerzas de seguridad federal","2018-04-03","","06","06","06"
"2018-04-03","Sí","No","Sí","Femenino","0 a 13","Sin dato/no contesta","Sin datos","Femenino","18 a 25","No","No","Buenos Aires","1","Argentina","Masculino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Protex","2018-04-03","","06","06","06"
"2018-04-03","No","No","No","Femenino","14 a 16","Chubut","Sin datos","Masculino","26 a 40","No","No","Corrientes","8","Argentina","Masculino","Corrientes","No","No","Corrientes","Explotación laboral","Línea 145","Boca en boca","Protex","2018-04-03","26","18","18","18"
