"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_identificada_provincia_origen_indec_id","denunciado_provincia_indec_id","victimas_estimadas_provincia_hecho_indec_id"
"2018-12-01","No","No","No","No","Femenino","26 a 40","Mendoza","Femenino","14 a 15","No","No","Mendoza","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","Femenino","14 a 15","Mendoza","Grooming","Línea 145","ONG - Organismos nacionales","Protex","2018-12-01","50","50","","50"
"2018-12-02","No","No","No","Sí","Femenino","No sabe/no contesta","Corrientes","Femenino","18 a 25","No","No","Corrientes","Argentina","Masculino","18 a 25","Corrientes","No","No","2","Situaciones con hombres y mujeres o trans (varios)","18 a 25","Corrientes","Desaparición","Línea 145","Otros","Protex","2018-12-02","18","18","18","18"
"2018-12-02","No","No","No","Sí","Femenino","No sabe/no contesta","Buenos Aires","Femenino","14 a 15","No","No","Buenos Aires","Extranjera","Masculino","26 a 40","Buenos Aires","No","No","1","Femenino","14 a 15","Buenos Aires","Posible trata de personas (hecho indefinido)","Línea 145","Otros","Protex","2018-12-02","06","06","06","06"
"2018-12-02","Sí","No","No","Sí","Masculino","No sabe/no contesta","Corrientes","Femenino","18 a 25","No","No","Corrientes","Argentina","Masculino","18 a 25","Corrientes","No","No","2","Situaciones con hombres y mujeres o trans (varios)","18 a 25","Corrientes","Desaparición","Línea 145","Otros","Protex","2018-12-02","18","18","18","18"
"2018-12-03","No","No","Sí","No","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Femenino","No sabe/no contesta","No","No","Ciudad Autónoma de Buenos Aires","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Area legal ya judicializada","2018-12-03","02","02","","02"
"2018-12-03","No","No","No","No","Masculino","No sabe/no contesta","Sin dato/no contesta","Femenino","No sabe/no contesta","No","No","Sin dato/no contesta","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","2","Femenino","No sabe/no contesta","Buenos Aires","Posible trata de personas (hecho indefinido)","Correo institucional","Otros","Protex","2018-12-03","","","","06"
"2018-12-03","No","No","No","Sí","Masculino","No sabe/no contesta","Formosa","Femenino","14 a 15","No","No","Formosa","No refiere","Masculino","No sabe/no contesta","Formosa","No","No","1","Femenino","14 a 15","Formosa","Explotación sexual niñas, niños y adolescentes","Línea 145","No contesta / No se consultó","Protex","2018-12-03","34","34","34","34"
"2018-12-03","No","No","Sí","No","Femenino","18 a 25","Buenos Aires","Femenino","18 a 25","No","No","Buenos Aires","No refiere","No sabe/no contesta","No sabe/no contesta","Buenos Aires","No","No","1","Femenino","18 a 25","Buenos Aires","Posible captación","Línea 145","No contesta / No se consultó","Protex","2018-12-03","06","06","06","06"
"2018-12-04","No","No","No","No","Femenino","18 a 25","Entre Ríos","Femenino","18 a 25","No","No","Entre Ríos","Extranjera","Masculino","26 a 40","Entre Ríos","No","No","10","Femenino","0 a 13","Entre Ríos","Posible trata de personas (hecho indefinido)","Línea 145","Boca en boca","Fuerzas de seguridad federal","2018-12-04","30","30","30","30"
"2018-12-04","No","No","No","No","Femenino","26 a 40","Ciudad Autónoma de Buenos Aires","Femenino","18 a 25","No","No","Ciudad Autónoma de Buenos Aires","No refiere","Masculino","41 a 60","Tucumán","Sí","Sí","1","Femenino","18 a 25","Tucumán","Posible captación","Línea 145","ONG - Organismos nacionales","Protex","2018-12-04","02","02","90","90"
"2018-12-05","Sí","No","No","No","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Femenino","No sabe/no contesta","No","No","Ciudad Autónoma de Buenos Aires","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","0","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Explotación sexual","Correo institucional","No contesta / No se consultó","Area legal ya judicializada","2018-12-05","02","02","","02"
"2018-12-05","No","No","No","No","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No sabe/no contesta","0 a 13","No","No","Sin dato/no contesta","No refiere","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","1","Masculino","0 a 13","Ciudad Autónoma de Buenos Aires","Pornografía infantil","Línea 145","Internet","Area legal ya judicializada","2018-12-05","02","","02","02"
"2018-12-05","No","No","No","No","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Femenino","18 a 25","No","No","Ciudad Autónoma de Buenos Aires","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","Femenino","18 a 25","Ciudad Autónoma de Buenos Aires","Posible trata de personas (hecho indefinido)","Línea 145","Internet","Área legal para judicializar","2018-12-05","02","02","","02"
"2018-12-05","No","No","No","No","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No sabe/no contesta","0 a 13","No","No","Sin dato/no contesta","No refiere","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","1","Masculino","0 a 13","Ciudad Autónoma de Buenos Aires","Pornografía infantil","Línea 145","Internet","Area legal ya judicializada","2018-12-05","02","","02","02"
"2018-12-05","No","No","No","No","Femenino","26 a 40","Buenos Aires","Femenino","18 a 25","No","No","Córdoba","Argentina","Situaciones con hombres y mujeres o trans (varios)","No sabe/no contesta","Tierra del Fuego","No","Sí","0","Femenino","18 a 25","Tierra del Fuego","Explotación sexual","Línea 145","No contesta / No se consultó","Protex","2018-12-05","06","14","94","94"
"2018-12-06","No","No","Sí","No","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Femenino","No sabe/no contesta","No","No","Ciudad Autónoma de Buenos Aires","Argentina","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","10","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Área legal para judicializar","2018-12-06","02","02","02","02"
"2018-12-06","No","No","No","Sí","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Femenino","16 a 17 (específico para trabajo adolescente)","No","No","Sin dato/no contesta","Extranjera","Femenino","61 en adelante","Ciudad Autónoma de Buenos Aires","No","No","0","Femenino","16 a 17 (específico para trabajo adolescente)","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Fuerzas de seguridad federal","2018-12-06","02","","02","02"
"2018-12-07","No","No","Sí","No","Femenino","No sabe/no contesta","Buenos Aires","Femenino","0 a 13","No","No","Buenos Aires","Argentina","Femenino","No sabe/no contesta","Buenos Aires","No","No","1","Femenino","0 a 13","Buenos Aires","Posible captación","Línea 145","Otros","Area legal ya judicializada","2018-12-07","06","06","06","06"
"2018-12-07","No","No","Sí","No","Femenino","No sabe/no contesta","Buenos Aires","Femenino","0 a 13","No","No","Buenos Aires","Argentina","Femenino","26 a 40","Buenos Aires","No","No","3","Femenino","0 a 13","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-12-07","06","06","06","06"
