"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_id","victima_identificada_provincia_origen_id","denunciado_provincia_id","victimas_estimadas_provincia_hecho_id"
"2019-07-01","Relacionada","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","13","No","No","NS/NC","NS/NC","Presencia de M y H","50","ns/nc","Sí","No","NS/NC","Femenino","13","San Juan","Explotación Sexual","Línea 145","NS/NC","Protex","2019-07-01","","","","70"
"2019-07-01","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","Santiado del Estero","Femenino","18","Sí","No","Buenos Aires","Argentina","Masculino","26","Santiado del Estero","No","No","1","Femenino","18","Santiado del Estero","Reducción a la servidumbre o situaciones análogas","Línea 145","NS/NC","Protex ","2019-07-01","","06","",""
"2019-07-01","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","Santiado del Estero","Femenino","18","Sí","No","Buenos Aires","Argentina","Masculino","26","Santiado del Estero","No","No","1","Femenino","18","Santiado del Estero","Reducción a la servidumbre o situaciones análogas","Línea 145","NS/NC","Protex ","2019-07-01","","06","",""
"2019-07-01","Relacionada","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","Femenino","30","Buenos Aires","No","No","5","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-07-01","","","06","06"
"2019-07-02","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","Córdoba","Femenino","NS/NC","No","No","Córdoba","NS/NC","Femenino","NS/NC","Córdoba","Sí","No","20","Femenino","NS/NC","Córdoba","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-07-02","14","14","14","14"
"2019-07-02","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","39","Sí","No","Buenos Aires","Argentina","Masculino","49","Buenos Aires","No","No","1","Femenino","39","Buenos Aires","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","2019-07-02","06","06","06","06"
"2019-07-02","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","Corrientes","Femenino","16","No","Sí","Corrientes","Argentina","Presencia de M y H","NS/NC","Corrientes","No","No","1","Femenino","16","Corrientes","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-07-02","18","18","18","18"
"2019-07-02","Nueva","No","No","No es Víctima","Femenino","NS/NC","Chaco","Femenino","16","No","No","Chaco","Argentina","Masculino","18","Buenos Aires","No","No","1","Femenino","16","Buenos Aires","Desaparición de personas","Línea 145","ONG-Organismos nacionales","Protex ","2019-07-02","22","22","06","06"
"2019-07-02","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","CABA","Argentina","NS/NC","NS/NC","NS/NC","No","No","2","Femenino","NS/NC","CABA","Publicidad de Oferta Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-07-02","02","02","","02"
"2019-07-03","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Presencia de M y H","11","No","No","Buenos Aires","Argentina","Presencia de M y H","NS/NC","Buenos Aires","No","No","3","Presencia de M y H","11","Buenos Aires","Explotación Laboral de N, N y A","Correo Electrónico","NS/NC","Protex ","2019-07-03","06","06","06","06"
"2019-07-03","Nueva","No","No","No es Víctima","Masculino","NS/NC","CABA","Femenino","20","No","No","Chubut","Argentina","Femenino","NS/NC","Chubut","No","No","1","Femenino","20","Chubut","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-07-03","02","26","26","26"
"2019-07-03","Nueva","No","No","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","Sí","NO","CABA","Argentina","NS/NC","NS/NC","CABA","No","No","1","Femenino","20","CABA","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-07-03","02","02","02","02"
"2019-07-03","Ampliatoria","no","No","Víctima Indirecta","Femenino","NS/NC","NS/NC","Femenino","16","No","No","Chaco","Argentina","Masculino","18","Buenos Aires","No","No","1","Femenino","16","Buenos Aires","Desaparición de personas","Línea 145","ONG-Organismos nacionales","Protex ","2019-07-03","","22","06","06"
"2019-07-04","Nueva","No","No","No es Víctima","Masculino","NS/NC","Santa Fe","Femenino","NS/NC","No","No","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Santa Fe","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-07-04","82","","","82"
"2019-07-04","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Salta","Presencia de M y Trans","17","No","No","NS/NC","NS/NC","Masculino","NS/NC","Salta","No","No","NS/NC","Presencia de M y Trans","17","Salta","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-07-04","66","","66","66"
"2019-07-04","Nueva","No","No","No es Víctima","Masculino","NS/NC","CABA","Femenino","31","No","No","Salta","Argentina","Masculino","NS/NC","Salta","NO","No","1","Femenino","31","Salta","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-07-04","02","66","66","66"
