"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_genero","llamante_rango_etario","llamante_provincia","llamante_es_victima","victima_genero","victima_rango_etario","victima_discapacidad","victima_embarazada","victima_provincia_origen","victima_cantidad","victima_nacionalidad","denunciado_genero","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","hecho_provincia","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_provincia_origen_indec_id","denunciado_provincia_indec_id","hecho_provincia_indec_id"
"2018-05-01","No","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sí","Femenino","18 a 25","No","No","Ciudad Autónoma de Buenos Aires","2","Argentina","Masculino","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Área legal para judicializar","2018-05-01","","","",""
"2018-05-02","No","No","Sí","No sabe/no contesta","14 a 16","Chaco","Sin datos","Femenino","0 a 13","No","No","Chaco","1","No refiere","Femenino","Chaco","No","No","Chaco","Explotación sexual","Línea 145","Otros","Protex","2018-05-02","22","22","22","22"
"2018-05-02","No","No","No","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","41 a 60","No","No","Ciudad Autónoma de Buenos Aires","1","Argentina","Masculino","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Área legal para judicializar","2018-05-02","","","",""
"2018-05-02","No","No","Sí","No sabe/no contesta","0 a 13","Chubut","Sin datos","No sabe/no contesta","No refiere","No","No","Sin dato/no contesta","0","No refiere","Masculino","Santa Cruz","No","No","Santa Cruz","Explotación sexual","Línea 145","Otros","Protex","2018-05-02","26","","78","78"
"2018-05-02","Sí","No","No","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","41 a 60","No","No","Ciudad Autónoma de Buenos Aires","1","Argentina","Masculino","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Área legal para judicializar","2018-05-02","","","",""
"2018-05-03","Sí","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","41 a 60","No","No","Buenos Aires","1","Argentina","Femenino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-05-03","","06","06","06"
"2018-05-03","Sí","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","0 a 13","No","No","Jujuy","1","Argentina","Femenino","Jujuy","No","No","Jujuy","Explotación sexual","Línea 145","Otros","Protex","2018-05-03","","38","38","38"
"2018-05-03","No","No","Sí","No sabe/no contesta","16 a 17 (específico para trabajo adolescente)","Córdoba","Sin datos","Trans","No refiere","No","No","Sin dato/no contesta","1","Extranjera","Trans","Santa Fe","No","No","Santa Fe","Explotación sexual","Línea 145","Internet","Protex","2018-05-03","14","","82","82"
"2018-05-03","No","No","Sí","Femenino","0 a 13","Chaco","Sí","Femenino","18 a 25","No","No","Sin dato/no contesta","3","No refiere","Femenino","Sin dato/no contesta","No","No","Ciudad Autónoma de Buenos Aires","Oferta laboral engañosa","Línea 145","Otros","Área legal para judicializar","2018-05-03","22","","",""
"2018-05-03","Sí","No","Sí","No sabe/no contesta","14 a 16","Córdoba","Sin datos","Femenino","14 a 16","No","No","Santa Fe","1","No refiere","Masculino","Santa Fe","No","No","Santa Fe","Explotación sexual","Línea 145","Otros","Protex","2018-05-03","14","82","82","82"
"2018-05-03","No","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","14 a 16","No","No","Salta","1","Argentina","No sabe/no contesta","Sin dato/no contesta","No","No","Salta","Desaparición","Línea 145","ONG - Organismos nacionales","Protex","2018-05-03","","66","","66"
"2018-05-03","No","No","Sí","Femenino","14 a 16","Sin dato/no contesta","Sin datos","Masculino","No refiere","No","No","Sin dato/no contesta","6","Extranjera","Masculino","Buenos Aires","No","No","Buenos Aires","Explotación laboral","Línea 145","Otros","Protex","2018-05-03","","","06","06"
"2018-05-03","No","No","No","No sabe/no contesta","0 a 13","Chubut","Sin datos","Femenino","0 a 13","No","No","Buenos Aires","1","Argentina","Femenino","Buenos Aires","No","No","Buenos Aires","Posible captación","Línea 145","ONG - Organismos nacionales","Protex","2018-05-03","26","06","06","06"
"2018-05-03","Sí","No","Sí","Femenino","14 a 16","Sin dato/no contesta","Sin datos","Masculino","No refiere","No","No","Santa Fe","0","No refiere","Masculino","Santa Fe","No","No","Santa Fe","Explotación laboral","Línea 145","Otros","Protex","2018-05-03","","82","82","82"
"2018-05-03","No","No","No","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","41 a 60","No","No","Ciudad Autónoma de Buenos Aires","1","Argentina","Masculino","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Área legal para judicializar","2018-05-03","","","",""
"2018-05-03","Sí","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","16 a 17 (específico para trabajo adolescente)","No","No","Buenos Aires","0","No refiere","Femenino","Sin dato/no contesta","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-05-03","","06","","06"
"2018-05-03","No","No","No","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","41 a 60","No","No","Ciudad Autónoma de Buenos Aires","1","Argentina","Masculino","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Área legal para judicializar","2018-05-03","","","",""
"2018-05-04","No","No","Sí","No sabe/no contesta","0 a 13","Chaco","No","Femenino","No refiere","No","No","Sin dato/no contesta","0","No refiere","No sabe/no contesta","Sin dato/no contesta","No","No","Sin dato/no contesta","Publicidad de oferta sexual","Línea 145","TV","Protex","2018-05-11","22","","",""
"2018-05-04","No","No","Sí","No sabe/no contesta","0 a 13","Córdoba","Sin datos","Masculino","0 a 13","Sí","No","Chaco","4","Argentina","Situaciones con hombres y mujeres o trans (varios)","Chaco","Sí","No","Chaco","Posible trata de personas (hecho indefinido)","Línea 145","Otros","Protex","2018-05-04","14","22","22","22"
"2018-05-04","No","No","No","No sabe/no contesta","0 a 13","Chaco","Sin datos","Femenino","18 a 25","No","Sí","Santiago del Estero","1","Argentina","No sabe/no contesta","Sin dato/no contesta","No","No","Santiago del Estero","Desaparición","Línea 145","Otros","Protex","2018-05-04","22","86","","86"
"2018-05-04","No","Sí","No","No sabe/no contesta","0 a 13","Chaco","Sí","Femenino","0 a 13","No","No","Ciudad Autónoma de Buenos Aires","1","Argentina","Masculino","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Área legal para judicializar","2018-05-04","22","","",""
"2018-05-04","No","No","Sí","No sabe/no contesta","0 a 13","Chaco","Sin datos","Masculino","0 a 13","No","No","Buenos Aires","1","No refiere","Femenino","Buenos Aires","No","No","Buenos Aires","Venta de niños y otros delitos","Línea 145","TV","Fuerzas de seguridad federal","2018-05-04","22","06","06","06"
"2018-05-04","No","No","No","No sabe/no contesta","0 a 13","Chubut","Sin datos","Femenino","26 a 40","No","No","Sin dato/no contesta","1","Argentina","No sabe/no contesta","Sin dato/no contesta","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Internet","Fuerzas de seguridad federal","2018-05-04","26","","",""
"2018-05-04","No","No","No","Femenino","0 a 13","Sin dato/no contesta","Sin datos","Femenino","No refiere","Sí","No","Buenos Aires","0","No refiere","Masculino","Buenos Aires","No","No","Buenos Aires","Venta de niños y otros delitos","Línea 145","Otros","Protex","2018-06-04","","06","06","06"
"2018-05-04","No","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sí","Situaciones con hombres y mujeres o trans (varios)","0 a 13","No","No","Salta","6","Argentina","Situaciones con hombres y mujeres o trans (varios)","Salta","Sí","No","Salta","Explotación sexual","Correo institucional","ONG - Organismos nacionales","Protex","2018-05-05","","66","66","66"
"2018-05-04","No","No","No","No sabe/no contesta","0 a 13","Chubut","Sin datos","Femenino","26 a 40","No","No","Sin dato/no contesta","1","Argentina","No sabe/no contesta","Sin dato/no contesta","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Internet","Fuerzas de seguridad federal","2018-05-04","26","","",""
"2018-05-05","No","No","Sí","No sabe/no contesta","0 a 13","Chubut","Sí","Femenino","18 a 25","No","No","Sin dato/no contesta","6","No refiere","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Fuerzas de seguridad federal","2018-05-05","26","","",""
"2018-05-05","Sí","No","Sí","Femenino","0 a 13","Córdoba","Sin datos","Masculino","0 a 13","Sí","No","Chaco","4","Argentina","Situaciones con hombres y mujeres o trans (varios)","Chaco","Sí","No","Chaco","Posible trata de personas (hecho indefinido)","Línea 145","Otros","Protex","2018-05-05","14","22","22","22"
"2018-05-05","No","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","0 a 13","No","No","Buenos Aires","2","Argentina","Masculino","Buenos Aires","No","No","Buenos Aires","Explotación laboral","Línea 145","Otros","Fuerzas de seguridad federal","2018-05-05","","06","06","06"
"2018-05-05","Sí","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","18 a 25","No","No","Buenos Aires","1","Argentina","Femenino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-05-05","","06","06","06"
"2018-05-05","Sí","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sí","Femenino","16 a 17 (específico para trabajo adolescente)","No","No","Sin dato/no contesta","0","Extranjera","Situaciones con hombres y mujeres o trans (varios)","Ciudad Autónoma de Buenos Aires","Sí","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Area legal ya judicializada","2018-04-28","","","",""
"2018-05-06","No","No","Sí","No sabe/no contesta","0 a 13","Sin dato/no contesta","No","No sabe/no contesta","No refiere","No","No","Sin dato/no contesta","0","No refiere","No sabe/no contesta","Sin dato/no contesta","No","No","Ciudad Autónoma de Buenos Aires","Posible trata de personas (hecho indefinido)","Línea 145","Otros","Protex","2018-05-06","","","",""
"2018-05-06","No","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Masculino","14 a 16","No","No","Sin dato/no contesta","0","No refiere","Masculino","Sin dato/no contesta","No","No","Río Negro","Traslado de personas","Línea 145","Otros","Fuerzas de seguridad federal","2018-05-06","","","","62"
"2018-05-06","Sí","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","No","No sabe/no contesta","No refiere","No","No","Sin dato/no contesta","0","No refiere","Masculino","Sin dato/no contesta","No","No","Sin dato/no contesta","Publicidad de oferta sexual","Correo institucional","Otros","Area legal ya judicializada","2018-05-31","","","",""
"2018-05-06","No","No","Sí","Femenino","0 a 13","Chaco","Sin datos","Femenino","18 a 25","No","No","Salta","2","No refiere","Femenino","Salta","Sí","No","Salta","Explotación sexual","Línea 145","Otros","Protex","2018-05-06","22","66","66","66"
