"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_identificada_provincia_origen_indec_id","denunciado_provincia_indec_id","victimas_estimadas_provincia_hecho_indec_id"
"2018-08-01","No","No","No","Sí","Femenino","18 a 25","Entre Ríos","Femenino","18 a 25","No","No","Entre Ríos","Argentina","Masculino","No sabe/no contesta","Sin dato/no contesta","No","No","0","Femenino","No sabe/no contesta","Sin dato/no contesta","Oferta laboral engañosa","Línea 145","Internet","Protex","2018-08-01","30","30","",""
"2018-08-01","Sí","No","Sí","No","Femenino","No sabe/no contesta","Santa Fe","Situaciones con hombres y mujeres o trans (varios)","14 a 15","No","No","Santa Fe","Argentina","Situaciones con hombres y mujeres o trans (varios)","26 a 40","Santa Fe","No","No","2","Situaciones con hombres y mujeres o trans (varios)","14 a 15","Santa Fe","Explotación laboral","Línea 145","No contesta / No se consultó","Protex","2018-08-01","82","82","82","82"
"2018-08-01","No","Sí","Sí","No","Femenino","41 a 60","Santa Fe","Femenino","18 a 25","No","No","Santa Fe","Argentina","Femenino","18 a 25","Sin dato/no contesta","No","No","1","Femenino","18 a 25","Santa Fe","Posible trata de personas (hecho indefinido)","Línea 145","Otros","Protex","2018-08-08","82","82","","82"
"2018-08-01","No","No","No","No","Femenino","No sabe/no contesta","Buenos Aires","Femenino","26 a 40","No","Sí","Buenos Aires","Argentina","Masculino","No sabe/no contesta","Otro país donde ocurre el hecho","No","No","1","Femenino","26 a 40","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-08-01","06","06","","02"
"2018-08-01","No","No","No","No","Femenino","No sabe/no contesta","Tucumán","Femenino","18 a 25","No","No","Tucumán","Argentina","Masculino","41 a 60","Otro país donde ocurre el hecho","No","No","1","Femenino","18 a 25","Otro país donde ocurre el hecho","Desaparición","Línea 145","ONG - Organismos nacionales","Protex","2018-08-02","90","90","",""
"2018-08-01","No","No","No","No","Femenino","26 a 40","Buenos Aires","Masculino","26 a 40","No","No","Otro país donde ocurre el hecho","Extranjera","Situaciones con hombres y mujeres o trans (varios)","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","2","Masculino","26 a 40","Buenos Aires","Explotación laboral","Línea 145","ONG - Organismos nacionales","Protex","2018-08-01","06","","02","06"
"2018-08-01","No","No","Sí","No","Femenino","41 a 60","Ciudad Autónoma de Buenos Aires","Femenino","18 a 25","No","No","Sin dato/no contesta","No refiere","Masculino","41 a 60","Ciudad Autónoma de Buenos Aires","No","No","0","Femenino","18 a 25","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Área legal para judicializar","2018-08-01","02","","02","02"
"2018-08-01","Sí","No","No","Sí","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Femenino","18 a 25","No","No","Córdoba","No refiere","Situaciones con hombres y mujeres o trans (varios)","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","3","Masculino","26 a 40","Córdoba","Explotación laboral","Línea 145","Otros","Protex","2018-08-01","02","14","02","14"
"2018-08-01","No","No","Sí","No","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No sabe/no contesta","No sabe/no contesta","No","No","Sin dato/no contesta","Extranjera","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","1","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Posible trata de personas (hecho indefinido)","Correo institucional","Otros","Protex","2018-08-01","02","","02","02"
"2018-08-02","No","No","Sí","No","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No sabe/no contesta","No sabe/no contesta","No","No","Sin dato/no contesta","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","Sí","No","0","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Área legal para judicializar","2018-08-02","02","","","02"
