"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_identificada_provincia_origen_indec_id","denunciado_provincia_indec_id","victimas_estimadas_provincia_hecho_indec_id"
"2018-10-01","No","No","No","No","Masculino","No sabe/no contesta","Buenos Aires","Femenino","16 a 17 (específico para trabajo adolescente)","No","No","Buenos Aires","No refiere","Masculino","No sabe/no contesta","Sin dato/no contesta","No","Sí","2","Femenino","16 a 17 (específico para trabajo adolescente)","Buenos Aires","Explotación sexual","Línea 145","No contesta / No se consultó","Área legal para judicializar","2018-10-01","06","06","","06"
"2018-10-01","No","No","No","No","Femenino","26 a 40","Buenos Aires","Femenino","18 a 25","No","No","Buenos Aires","No refiere","Masculino","No sabe/no contesta","Sin dato/no contesta","No","No","1","Femenino","18 a 25","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-10-01","06","06","","06"
"2018-10-01","Sí","No","No","No","Femenino","No sabe/no contesta","Buenos Aires","Femenino","0 a 13","No","No","Buenos Aires","Argentina","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","Femenino","0 a 13","Buenos Aires","Pornografía infantil","Línea 145","ONG - Organismos nacionales","Protex","2018-10-01","06","06","","06"
"2018-10-01","No","No","No","No","Femenino","No sabe/no contesta","Buenos Aires","Femenino","14 a 15","No","Sí","Buenos Aires","Argentina","No sabe/no contesta","No sabe/no contesta","Buenos Aires","No","No","2","Femenino","14 a 15","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-10-01","06","06","06","06"
"2018-10-01","No","No","No","No","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Femenino","18 a 25","No","No","Sin dato/no contesta","Argentina","No sabe/no contesta","14 a 15","Sin dato/no contesta","No","No","1","Femenino","18 a 25","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Boca en boca","Protex","2018-10-01","02","","","02"
"2018-10-01","No","No","Sí","Sí","Femenino","41 a 60","Salta","Femenino","41 a 60","No","No","Río Negro","No refiere","Masculino","41 a 60","Río Negro","No","No","1","Femenino","41 a 60","Río Negro","Explotación sexual","Línea 145","Otros","Fuerzas de seguridad federal","2018-10-01","66","62","62","62"
"2018-10-01","No","No","No","Sí","Femenino","18 a 25","Buenos Aires","Femenino","18 a 25","No","No","Buenos Aires","Argentina","Situaciones con hombres y mujeres o trans (varios)","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","1","Femenino","18 a 25","Ciudad Autónoma de Buenos Aires","Posible captación","Correo institucional","No contesta / No se consultó","Área legal para judicializar","2018-10-01","06","06","02","02"
"2018-10-01","Sí","No","Sí","No","Masculino","No sabe/no contesta","Corrientes","Femenino","14 a 15","No","No","Corrientes","Argentina","Masculino","61 en adelante","Sin dato/no contesta","No","No","1","Femenino","14 a 15","Corrientes","Explotación sexual","Línea 145","Otros","Protex","2018-10-01","18","18","","18"
"2018-10-01","No","No","Sí","No","Masculino","No sabe/no contesta","Entre Ríos","Femenino","No sabe/no contesta","No","No","Entre Ríos","No refiere","No sabe/no contesta","No sabe/no contesta","Entre Ríos","Sí","No","3","Femenino","No sabe/no contesta","Entre Ríos","Explotación sexual","Línea 145","Otros","Fuerzas de seguridad federal","2018-10-01","30","30","30","30"
"2018-10-02","No","No","Sí","No","Femenino","No sabe/no contesta","Buenos Aires","Masculino","14 a 15","No","No","Buenos Aires","Extranjera","No sabe/no contesta","No sabe/no contesta","Buenos Aires","No","No","2","Masculino","14 a 15","Buenos Aires","Explotación laboral niñas, niños y adolescentes","Línea 145","Boca en boca","Fuerzas de seguridad federal","2018-10-02","06","06","06","06"
