"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_id","victima_identificada_provincia_origen_id","denunciado_provincia_id","victimas_estimadas_provincia_hecho_id"
"-78-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","17","No","No","Buenos Aires","Argentina","Masculino","37","Buenos Aires","No","No","1","Femenino","17","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","-78-43","06","06","06","06"
"-78-43","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","21","No","No","CABA","Argentina","Masculino","32","NS/NC","No","No","1","Femenino","21","NS/NC","Oferta Laboral Engañosa","Línea 145","NS/NC","Area Legal para judicializar","-78-43","","02","",""
"-78-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","Buenos Aires","Países Limítrofes","Masculino","NS/NC","NS/NC","No","No","4","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","-78-43","06","06","","06"
"-78-43","Ampliatoria","No","No","No es Víctima","Masculino","NS/NC","NS/NC","Presencia de M y H","NS/NC","No","No","NS/NC","Países Limítrofes","Femenino","NS/NC","Buenos Aires","No","No","3","Presencia de M y H","NS/NC","Buenos Aires","Explotación Laboral","Línea 145","NS/NC","Protex ","-78-43","","","06","06"
"-78-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","Salta","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","Salta","Sí","Sí","NS/NC","Femenino","NS/NC","SALTA","Explotación Sexual","Línea 145","NS/NC","Protex ","-78-43","66","","66","66"
"-78-43","Ampliatoria","NO","Sí","No es Víctima","FEMENINO","NS/NC","Tucumán","FEMENINO","14","No","No","Tucumán","Argentina","MASCULINO","NS/NC","Tucumán","No","No","1","FEMENINO","14","Tucumán","Explotación Sexual de N, N y A","Línea 145","ns/nc","Protex ","-78-43","90","90","90","90"
"-79-43","Nueva","No","No","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","Sí","No","1","Femenino","NS/NC","Buenos Aires","Posible captación","Correo Electrónico","NS/NC","Protex ","-79-43","","","","06"
"-79-43","Nueva","No","No","No es Víctima","Masculino","NS/NC","Entre Ríos","Femenino","48","No","No","Entre Ríos","Argentina","Masculino","NS/NC","Buenos Aires","No","Sí","1","Femenino","NS/NC","Entre Ríos","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","-79-43","30","30","06","30"
"-79-43","Nueva","No","No","Víctima Directa","Femenino","33","Mendoza","Femenino","33","No","No","Mendoza","Argentina","Masculino","NS/NC","Mendoza","No","No","3","Presencia de M y H","33","Mendoza","Reducción a la servidumbre o situaciones análogas","Línea 145","ONG-Organismos nacionales","Protex ","-79-43","50","50","50","50"
"-79-43","Nueva","No","No","Víctima Indirecta","Masculino","31","Río Negro","Femenino","4","No","No","Río Negro","Argentina","Presencia de M y H","NS/NC","Buenos Aires","No","No","4","Femenino","4","Buenos Aires","Posible captación","Línea 145","ONG-Organismos nacionales","Protex ","-79-43","62","62","06","06"
"-79-43","Nueva","No","Sí","No es Víctima","Femenino","27","Mendoza","Femenino","14","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","3","Femenino","14","Mendoza","Explotación Sexual","Línea 145","NS/NC","Protex y Gendarmería","-79-43","50","","","50"
"-79-43","Ampliatoria","No","No","Víctima Directa","Femenino","33","Mendoza","Femenino","33","No","No","Mendoza","Argentina","Masculino","NS/NC","Mendoza","No","No","3","Presencia de M y H","33","Mendoza","Reducción a la servidumbre o situaciones análogas","Línea 145","ONG-Organismos nacionales","Protex ","-80-43","50","50","50","50"
"-80-43","Relacionada","no","Sí","No es Víctima","Masculino","NS/NC","Jujuy","Femenino","16","No","No","NS/NC","NS/NC","Masculino","NS/NC","Jujuy","SÍ","No","3","Femenino","16","Jujuy","Explotación Sexual de N, N y A","Línea 145","NS/NC","Gendarmería y Protex","-80-43","38","","38","38"
"-80-43","Relacionada","no","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","20","No","No","Buenos Aires","Argentina","Masculino","NS/NC","ns/nc","No","No","1","Femenino","20","Buenos Aires","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","-80-43","06","06","","06"
"-80-43","Relacionada","No","No","No es Víctima","Masculino","NS/NC","Río Negro","Femenino","NS/NC","No","No","Río Negro","Argentina","Femenino","NS/NC","CABA","No","No","4","Femenino","NS/NC","CABA","Posible captación","Línea 145","NS/NC","Protex ","-80-43","62","62","02","02"
"-81-43","Nueva","No","Sí","No es Víctima","Masculino","35","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","ns/nc","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Posible captación","Línea 145","Internet","Protex ","-81-43","06","","","06"
"-81-43","Nueva","No","No","No es Víctima","Masculino","NS/NC","Córdoba","Femenino","16","No","No","Córdoba","NS/NC","Masculino","33","Córdoba","No","No","1","Femenino","16","Córdoba","Desaparición de personas","Línea 145","NS/NC","Protex ","-82-43","14","14","14","14"
"-82-43","Nueva","No","No","No es Víctima","Masculino","26","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","1","Femenino","NS/NC","Buenos Aires","Posible captación","Línea 145","Boca en Boca","Protex ","-82-43","06","","","06"
"-82-43","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Córdoba","Femenino","12","No","No","NS/NC","NS/NC","Masculino","46","Córdoba","No","No","20","Femenino","12","Córdoba","Explotación Sexual","Línea 145","Internet","Gendarmería y Protex","-82-43","14","","14","14"
"-82-43","Ampliatoria","No","No","No es Víctima","Masculino","NS/NC","Entre Ríos","Femenino","48","No","No","Entre Ríos","Argentina","Masculino","NS/NC","Buenos Aires","No","Sí","1","Femenino","NS/NC","Entre Ríos","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","-82-43","30","30","06","30"
"-82-43","Nueva","No","No","No es Víctima","Femenino","80","Mendoza","Femenino","13","Sí","No","Mendoza","Argentina","Masculino","45","Mendoza","No","No","NS/NC","Femenino","13","Mendoza","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","-82-43","50","50","50","50"
"-82-43","Ampliatoria","No","Sí","No es Víctima","Femenino","NS/NC","Tucumán","Femenino","14","No","No","Tucumán","Argentina","Masculino","NS/NC","Tucumán","No","No","1","Femenino","14","Tucumán","Explotación Sexual","Línea 145","NS/NC","Protex ","-82-43","90","90","90","90"
"-82-43","Nueva","No","No","No es Víctima","Femenino","31","Buenos Aires","Femenino","23","No","No","Buenos Aires","Argentina","Masculino","NS/NC","Buenos Aires","No","No","1","Femenino","23","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","-83-43","06","06","06","06"
"-82-43","Nueva","no","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","sí","No","2","Femenino","NS/NC","caba","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","-82-43","02","","","02"
"-82-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Buenos Aires","No","No","NS/NC","Masculino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","-83-43","","","06","06"
"-83-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Mendoza","Explotación Sexual","Línea 145","NS/NC","Protex ","-83-43","","","","50"
"-83-43","Nueva","No","No","Víctima Directa","Femenino","NS/NC","NS/NC","Femenino","39","No","No","Entre Ríos","Argentina","Masculino","NS/NC","NS/NC","No","No","1","Femenino","39","Entre Ríos","Explotación Sexual","Línea 145","NS/NC","Protex ","-83-43","","30","","30"
"-83-43","Relacionada","nO","Sí","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","NS/NC","No","No","caba","Argentina","NS/NC","NS/NC","NS/NC","No","No","2","Femenino","NS/NC","CABA","Publicidad de Oferta Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","-83-43","","02","","02"
"-83-43","Amplía y está relacionada con otras Denuncias","no","No","No es Víctima","Masculino","NS/NC","Entre Ríos","Femenino","48","No","No","Entre Ríos","Argentina","NS/NC","NS/NC","NS/NC","No","Sí","1","Femenino","48","Entre Ríos","Explotación Sexual","Línea 145","NS/NC","Protex ","-83-43","30","30","","30"
"-83-43","Nueva","No","No","Víctima Directa","Masculino","NS/NC","Córdoba","Masculino","NS/NC","No","No","Santiago del Estero","NS/NC","Masculino","NS/NC","Córdoba","No","No","1","Masculino","NS/NC","Córdoba","Explotación Laboral","Línea 145","NS/NC","Protex ","-83-43","14","86","14","14"
"-83-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","18","No","No","NS/NC","NS/NC","Femenino","61","CABA","Sí","No","NS/NC","Femenino","18","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","-83-43","02","","02","02"
"-83-43","Relacionada","No","Sí","No es Víctima","Femenino","NS/NC","Tucumán","Femenino","18","No","No","NS/NC","NS/NC","Femenino","NS/NC","Tucumán","No","No","8","Femenino","18","Tucumán","Explotación Sexual","Línea 145","NS/NC","Protex ","-83-43","90","","90","90"
"-84-43","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Chubut","Femenino","NS/NC","No","No","NS/NC","Países Limítrofes","Presencia de M y H","NS/NC","Chubut","No","No","1","Femenino","NS/NC","Chubut","Explotación Sexual","Línea 145","NS/NC","Protex ","-84-43","26","","26","26"
"-84-43","Nueva","No","Sí","No es víctima","Masculino","ns/nc","Mendoza","femenino","NS/NC","No","No","Mendoza","NS/NC","NS/NC","NS/NC","NS/NC","Sí","No","5","Femenino","NS/NC","Mendoza","Explotación Sexual","Línea 145","NS/NC","Protex ","-84-43","50","50","","50"
"-84-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","CABA","Femenino","17","No","No","Buenos Aires","NS/NC","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","17","Buenos Aires","Explotación Sexual de N, N y A","Línea 145","NS/NC","Area Legal para judicializar","-84-43","02","06","","06"
"-84-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Chubut","Femenino","30","No","No","Chubut","Otros Países","Presencia de M y H","NS/NC","NS/NC","Sí","No","3","Femenino","30","Chubut","Explotación Sexual","Línea 145","NS/NC","Protex ","-84-43","26","26","","26"
"-84-43","Relacionada","no","No","No es Víctima","Femenino","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","caba","Publicidad de Oferta Sexual","Correo Electrónico","NS/NC","Area Legal para judicializar","-84-43","","","","02"
"-84-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","Buenos Aires","Argentina","Masculino","NS/NC","NS/NC","No","No","1","Femenino","NS/NC","Buenos Aires","Grooming","Línea 145","NS/NC","Protex ","-84-43","06","06","","06"
"-85-43","Relacionada","No","Sí","No es Víctima","Masculino","ns/nc","CABA","Femenino","16","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","4","Femenino","16","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","-85-43","02","","","06"
"-85-43","Nueva","No","Sí","No es Víctima","Masculino","ns/nc","San Juan","Femenino","19","Sí","No","San Juan","Argentina","NS/NC","NS/NC","San Juan","No","No","8","Presencia de M y Trans","19","San Juan","Explotación Sexual","Línea 145","NS/NC","Protex ","-85-43","70","70","70","70"
"-85-43","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","Buenos Aires","Argentina","Masculino","NS/NC","NS/NC","No","No","1","Femenino","NS/NC","Buenos Aires","Grooming","Línea 145","NS/NC","Protex ","-84-43","06","06","","06"
"-85-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","Neuquén","NS/NC","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","Neuquén","Posible captación","Correo Electrónico","NS/NC","Protex ","-85-43","58","","","58"
"-85-43","Nueva","No","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Presencia de M y H","17","No","No","Buenos Aires","Argentina","Masculino","NS/NC","Buenos Aires","No","No","9","Presencia de M y H","NS/NC","Buenos Aires","Explotación Laboral","Línea 145","ONG-Organismos nacionales","protex ","-85-43","06","06","06","06"
"-85-43","Ampliatoria","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","20","Sí","No","NS/NC","NS/NC","Masculino","35","Buenos Aires","No","No","4","Femenino","20","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","-85-43","06","","06","06"
"-85-43","Nueva","No","Sí","No es Víctima","Femenino","42","Tucumán","Masculino","NS/NC","No","No","Santiago del Estero","Argentina","NS/NC","NS/NC","Tucumán","No","No","20","Masculino","NS/NC","tucumán","Explotación Laboral","Línea 145","Campañas del Programa","Protex ","-85-43","90","86","90","90"
"-85-43","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","Entre Ríos","Femenino","NS/NC","No","No","Entre Ríos","Argentina","Femenino","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Posible captación","Línea 145","NS/NC","Protex ","-85-43","30","30","",""
"-86-43","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","Femenino","35","Buenos Aires","Sí","No","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","-86-43","02","","06","06"
"-86-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","17","No","No","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","Sí","No","NS/NC","Femenino","17","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","-86-43","06","","","06"
"-86-43","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","Femenino","35","Buenos Aires","Sí","No","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","-86-43","02","","06","06"
"-86-43","Ampliatoria","No","No","Víctima Directa","Masculino","NS/NC","Córdoba","Masculino","NS/NC","No","No","Santiago del Estero","NS/NC","Masculino","NS/NC","Córdoba","No","No","1","Masculino","NS/NC","Córdoba","Explotación Laboral","Línea 145","NS/NC","Protex ","-86-43","14","86","14","14"
"-86-43","Nueva","No","No","Víctima Directa","Femenino","NS/NC","Santa Fe","Femenino","NS/NC","No","No","Santa Fe","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Santa Fe","Posible captación","Línea 145","Boca en Boca","Protex ","-85-43","82","82","","82"
"-86-43","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","14","No","No","Buenos Aires","NS/NC","Masculino","NS/NC","Buenos Aires","No","No","3","Femenino","NS/NC","Buenos Aires","Venta de Niñxs y otros delitos","Línea 145","NS/NC","Comisaría","-87-43","06","06","06","06"
"-87-43","Nueva","Sí","Sí","No es Víctima","Femenino","NS/NC","Chaco","Femenino","18","No","No","Chaco","NS/NC","Masculino","NS/NC","Chaco","No","No","3","Femenino","NS/NC","Chaco","Venta de Niñxs y otros delitos","Línea 145","NS/NC","Fiscalía ","-87-43","22","22","22","22"
"-87-43","Nueva","No","No","Víctima Directa","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","Buenos Aires","Otros Países","Presencia de M y H","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","Buenos Aires","Posible captación","Línea 145","NS/NC","Protex ","-87-43","06","06","","06"
"-87-43","Nueva","No","Sí","Víctima Directa","Femenino","24","Mendoza","Presencia de M y Trans","17","No","No","NS/NC","Argentina","Masculino","70","Mendoza","Sí","No","16","Presencia de M y Trans","17","Mendoza","Explotación Sexual","Línea 145","NS/NC","Protex y Gendarmería","-87-43","50","","50","50"
"-87-43","Nueva","no","No","No es Víctima","Femenino","31","Tucumán","Masculino","80","No","No","Tucumán","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Masculino","80","Tucumán","Desaparición de personas","Línea 145","NS/NC","Protex ","-87-43","90","90","","90"
"-88-43","Nueva","no","Sí","Víctima Directa","Masculino","27","Santa Fe","Masculino","27","No","No","Santa Fe","Argentina","Femenino","38","Santa Fe","No","No","2","Presencia de M y H","27","Santa Fe","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","-88-43","82","82","82","82"
"-88-43","nueva","No","Sí","No es Víctima","Masculino","27","Buenos Aires","Femenino","22","No","No","NS/NC","Otros Países","Trans","NS/NC","NS/NC","sí","sí","7","Presencia de M y Trans","22","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","-88-43","06","","","06"
"-88-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","Córdoba","Femenino","25","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","ns/nc","No","No","1","Femenino","25","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","-88-43","14","06","","06"
"-88-43","Ampliatoria","No","No","No es Víctima","Masculino","NS/NC","Córdoba","Femenino","16","No","No","Córdoba","NS/NC","Masculino","33","Córdoba","No","No","1","Femenino","16","Córdoba","Desaparición de personas","Línea 145","NS/NC","Protex ","-82-43","14","14","14","14"
"-88-43","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Correo Electrónico","NS/NC","Protex ","-88-43","06","","","06"
"-89-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","23","No","No","Buenos Aires","Otros Países","Presencia de M y Trans","NS/NC","Buenos Aires","Sí","No","9","FEMENINO","23","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","-89-43","06","06","06","06"
"-89-43","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","25","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","25","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex ","-89-43","06","06","","06"
