"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_identificada_provincia_origen_indec_id","denunciado_provincia_indec_id","victimas_estimadas_provincia_hecho_indec_id"
"2019-03-01","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","19","No","No","NS/NC","NS/NC","Masculino","NS/NC","CABA","No","No","1","Femenino","19","CABA","Posible captación","Línea 145","NS/NC","Policía Federal y Area Legal del PNR","2019-03-01","02","","02","02"
"2019-03-01","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Córdoba","Femenino","30","No","No","Córdoba","Países Limítrofes","Presencia de M y H","NS/NC","Córdoba","Sí","No","NS/NC","Presencia de M y H","30","Córdoba","Explotación Sexual","Línea 145","Boca en Boca","Protex ","2019-03-01","14","14","14","14"
"2019-03-01","Nueva","No","No","No es Víctima","Masculino","24","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","5","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","Internet","Protex ","2019-03-01","","","","06"
"2019-03-01","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","Femenino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","CABA","Explotación Sexual","Correo Electrónico","NS/NC","Policía Federal y Area Legal del PNR","2019-03-01","","","","02"
"2019-03-01","nueva","No","No","No es Víctima","Femenino","30","Tucumán","Masculino","NS/NC","no","no","Tucumán","Argentina","Masculino","55","Tucumán","NO","NO","5","Masculino","NS/NC","Tucumán","Explotación Laboral","Línea 145","NS/NC","Protex ","2019-03-01","90","90","90","90"
"2019-03-01","Ampliatoria","No","No","Víctima Directa","Femenino","20","Santa Fe","NS/NC","NS/NC","No","No","Santa Fe","Argentina","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Posible captación","Correo Electrónico","NS/NC","Protex ","2019-03-01","82","82","",""
"2019-03-01","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Salta","Femenino","NS/NC","No","No","Salta","NS/NC","Masculino","NS/NC","SALTA","No","Sí","NS/NC","Femenino","NS/NC","Salta","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-03-01","66","66","66","66"
"2019-03-01","Nueva","No","No","Víctima Directa","Femenino","16","Chaco","Femenino","16","NO","NO","CHACO","Argentina","Masculino","NS/NC","Chaco","NO","NO","1","Femenino","16","Chaco","Explotación Sexual de N, N y A","Línea 145","NS/NC","Gendarmería y Protex","2019-03-01","22","22","22","22"
"2019-03-01","Amplía y está relacionada con otras Denuncias","no","No","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","Sí","Sí","2","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-03-02","02","","","06"
"2019-03-01","Ampliatoria","No","Sí","No es Víctima","Femenino","NS/NC","Córdoba","Femenino","30","No","No","Córdoba","Países Limítrofes","Presencia de M y H","NS/NC","Córdoba","Sí","No","NS/NC","Presencia de M y H","30","Córdoba","Explotación Sexual","Línea 145","Boca en Boca","Protex ","2019-03-02","14","14","14","14"
