"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_identificada_provincia_origen_indec_id","denunciado_provincia_indec_id","victimas_estimadas_provincia_hecho_indec_id"
"2019-01-01","Nueva","No","No","Víctima Indirecta","Femenino","NS/NC","Buenos Aires","Femenino","30","No","No","Buenos Aires","Argentina","Masculino","NS/NC","NS/NC","No Refiere ","No Refiere","1","Femenino","30","Internet","Posible captación","Línea 145","ONG-Organismos nacionales","Protex","2019-01-01","06","06","",""
"2019-01-01","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","44","No","No","Buenos Aires","Otros Países","NS/NC","NS/NC","NS/NC","No Refiere ","No Refiere","1","Femenino","44","Buenos Aires","DESAPARICIÓN DE PERSONAS","Línea 145","ONG-Organismos nacionales","Protex","2019-01-01","06","06","","06"
"2019-01-01","Nueva","No","No","No es Víctima","Femenino","29","CABA","Masculino","38","No","No","CABA","Otros Países","NS/NC","NS/NC","NS/NC","No Refiere ","No Refiere","1","Masculino","38","CABA","Desaparición de personas","Línea 145","ONG-Organismos nacionales","Protex","2019-01-02","02","02","","02"
"2019-01-02","Amplía y está relacionada con otras Denuncias","No","No","No es Víctima","Masculino","NS/NC","Salta","Femenino","27","No","Sí","Salta","Argentina","Masculino","NS/NC","NS/NC","No Refiere ","No Refiere","2","Femenino","27","Tucumán","Desaparición de personas","Línea 145","NS/NC","Protex","2019-01-02","66","66","","90"
"2019-01-02","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","CABA","Otros Países","Masculino","50","NS/NC","Sí","No Refiere","4","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-01-02","02","02","","02"
"2019-01-02","nueva","No","Sí","no es Víctima","Masculino","Ns/NC","CABA","NS/NC","NS/NC","No","No","CABA","Argentina","NS/NC","NS/NC","NS/NC","No Refiere ","No Refiere","1","Femenino","NS/NC","NS/NC","Explotación Sexual","Línea 145","NS/NC","Gendarmería y PNR","2019-01-02","02","02","",""
"2019-01-02","Nueva","No","No","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","Buenos Aires","Argentina","MASCULINO","NS/NC","CABA","No Refiere ","No Refiere","1","Femenino","NS/NC","CABA","Explotación Sexual","Correo Electrónico","NS/NC","Policía Fed y PNR","2019-01-02","02","06","02","02"
"2019-01-02","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","MASCULINO","NS/NC","NS/NC","No Refiere ","No Refiere","4","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-01-02","02","","","02"
"2019-01-02","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Salta","Femenino","16","No","No","NS/NC","NS/NC","Femenino","50","salta","No Refiere ","No Refiere","5","Presencia de Mujeres  y Hombres ","16","Salta","Explotación Sexual de N, N y A","Línea 145","NS/NC","Gendarmería y Protex","2019-01-02","66","","66","66"
"2019-01-03","Nueva","No","No","No es Víctima","Femenino","20","CABA","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No Refiere ","No Refiere","NS/NC","Femenino","NS/NC","CABA","Publicidad de Oferta Sexual","Línea 145","TV","Area Legal para judicializar","2019-01-03","02","","","02"
