"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_identificada_provincia_origen_indec_id","denunciado_provincia_indec_id","victimas_estimadas_provincia_hecho_indec_id"
"2018-07-01","No","No","No","Sí","Femenino","No sabe/no contesta","Santiago del Estero","Femenino","0 a 13","No","No","Santiago del Estero","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","0","No sabe/no contesta","No sabe/no contesta","Santiago del Estero","Grooming","Línea 145","ONG - Organismos nacionales","Protex","2018-07-01","86","86","","86"
"2018-07-01","No","No","Sí","No","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","Femenino","0 a 13","No","No","Buenos Aires","Argentina","Masculino","No sabe/no contesta","Buenos Aires","No","No","0","No sabe/no contesta","No sabe/no contesta","Buenos Aires","Matrimonio forzado","Teléfono institucional (no salientes)","No contesta / No se consultó","Area legal ya judicializada","2018-07-01","","06","06","06"
"2018-07-02","No","No","Sí","Sí","Femenino","26 a 40","Buenos Aires","Femenino","No sabe/no contesta","No","No","Sin dato/no contesta","No refiere","Femenino","No sabe/no contesta","Sin dato/no contesta","No","No","4","No sabe/no contesta","No sabe/no contesta","Buenos Aires","Explotación sexual","Línea 145","Internet","Protex","2018-07-02","06","","","06"
"2018-07-02","No","No","No","No","Femenino","No sabe/no contesta","Sin dato/no contesta","Femenino","No sabe/no contesta","No","No","Buenos Aires","No refiere","No sabe/no contesta","No sabe/no contesta","Buenos Aires","No","No","0","No sabe/no contesta","No sabe/no contesta","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-07-02","","06","06","06"
"2018-07-02","No","No","Sí","No","Femenino","18 a 25","Buenos Aires","Femenino","14 a 15","No","No","Ciudad Autónoma de Buenos Aires","Argentina","Femenino","No sabe/no contesta","Buenos Aires","Sí","No","1","No sabe/no contesta","No sabe/no contesta","Buenos Aires","Explotación laboral","Teléfono institucional (no salientes)","Internet","Fuerzas de seguridad federal","2018-07-02","06","02","06","06"
"2018-07-02","No","No","No","No","Femenino","No sabe/no contesta","Buenos Aires","Femenino","0 a 13","No","No","Santiago del Estero","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","2","No sabe/no contesta","No sabe/no contesta","Santiago del Estero","Grooming","Línea 145","Otros","Protex","2018-07-02","06","86","","86"
"2018-07-02","No","No","No","Sí","Femenino","No sabe/no contesta","Santiago del Estero","Femenino","0 a 13","No","No","Santiago del Estero","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","0","No sabe/no contesta","No sabe/no contesta","Santiago del Estero","Grooming","Línea 145","ONG - Organismos nacionales","Protex","2018-07-02","86","86","","86"
"2018-07-02","No","No","No","No","Masculino","No sabe/no contesta","Buenos Aires","Femenino","No sabe/no contesta","No","No","Sin dato/no contesta","No refiere","Masculino","No sabe/no contesta","Sin dato/no contesta","No","No","0","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","Posible captación","Correo institucional","Otros","Protex","2018-07-02","06","","",""
"2018-07-03","No","No","No","No","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Femenino","No sabe/no contesta","No","No","Sin dato/no contesta","No refiere","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Sí","No","0","No sabe/no contesta","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Explotación sexual","Correo institucional","Otros","Área legal para judicializar","2018-07-03","02","","02","02"
"2018-07-03","No","No","No","No","Femenino","No sabe/no contesta","Buenos Aires","Femenino","14 a 15","No","Sí","Buenos Aires","Extranjera","Masculino","No sabe/no contesta","Sin dato/no contesta","No","No","9","No sabe/no contesta","No sabe/no contesta","Buenos Aires","Explotación laboral niñas, niños y adolescentes","Línea 145","ONG - Organismos nacionales","Fuerzas de seguridad federal","2018-07-03","06","06","","06"
"2018-07-04","No","No","Sí","Sí","Masculino","41 a 60","Mendoza","Masculino","No sabe/no contesta","No","No","Mendoza","No refiere","Masculino","No sabe/no contesta","Mendoza","No","No","6","No sabe/no contesta","No sabe/no contesta","Mendoza","Explotación laboral","Línea 145","TV","Área legal para judicializar","2018-07-04","50","50","50","50"
"2018-07-04","Sí","No","Sí","No","Masculino","No sabe/no contesta","Sin dato/no contesta","Masculino","26 a 40","No","No","Mendoza","Argentina","Masculino","No sabe/no contesta","Mendoza","No","No","8","No sabe/no contesta","No sabe/no contesta","Mendoza","Explotación laboral","Línea 145","Otros","Area legal ya judicializada","2018-07-04","","50","50","50"
"2018-07-04","No","No","No","No","Masculino","No sabe/no contesta","Buenos Aires","Femenino","0 a 13","Sí","No","Buenos Aires","Argentina","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","Grooming","Línea 145","TV","Protex","2018-07-04","06","06","",""
"2018-07-04","Sí","No","No","No","Masculino","No sabe/no contesta","Buenos Aires","Femenino","0 a 13","No","No","Buenos Aires","Argentina","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","Grooming","Correo institucional","TV","Protex","2018-07-04","06","06","",""
"2018-07-04","Sí","No","No","No","Masculino","No sabe/no contesta","Buenos Aires","Femenino","0 a 13","No","No","Buenos Aires","Argentina","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","Grooming","Correo institucional","TV","Protex","2018-07-05","06","06","",""
"2018-07-05","Sí","No","No","No","Masculino","16 a 17 (específico para trabajo adolescente)","Buenos Aires","Femenino","14 a 15","No","No","Buenos Aires","Argentina","Masculino","No sabe/no contesta","Buenos Aires","No","No","3","No sabe/no contesta","No sabe/no contesta","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-07-05","06","06","06","06"
"2018-07-05","No","No","No","Sí","Masculino","26 a 40","Río Negro","Masculino","26 a 40","No","No","Otro país donde ocurre el hecho","Argentina","Masculino","No sabe/no contesta","Chubut","No","Sí","1","No sabe/no contesta","No sabe/no contesta","Río Negro","Explotación laboral","Línea 145","Otros","Fuerzas de seguridad federal","2018-07-05","62","","26","62"
"2018-07-05","Sí","No","No","Sí","Masculino","No sabe/no contesta","Santa Fe","Femenino","16 a 17 (específico para trabajo adolescente)","No","No","Santa Fe","No refiere","Masculino","No sabe/no contesta","Santa Fe","No","No","1","No sabe/no contesta","No sabe/no contesta","Santa Fe","Posible captación","Línea 145","Otros","Protex","2018-07-06","82","82","82","82"
"2018-07-05","No","No","No","Sí","Masculino","26 a 40","Chaco","Masculino","26 a 40","No","No","Sin dato/no contesta","Argentina","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","No sabe/no contesta","No sabe/no contesta","Chaco","Posible captación","Línea 145","Otros","Protex","2018-07-06","22","","","22"
"2018-07-05","No","No","No","Sí","Femenino","26 a 40","Río Negro","Femenino","14 a 15","No","No","Río Negro","Argentina","Masculino","No sabe/no contesta","Río Negro","No","No","2","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","Posible captación","Línea 145","Otros","Protex","2018-07-06","62","62","62",""
"2018-07-05","No","No","No","No","Femenino","41 a 60","Santa Fe","Femenino","18 a 25","No","No","Santa Fe","Argentina","Masculino","No sabe/no contesta","Santa Fe","No","No","3","No sabe/no contesta","No sabe/no contesta","Santa Fe","Explotación sexual","Línea 145","Otros","Fuerzas de seguridad federal","2018-07-06","82","82","82","82"
"2018-07-05","No","No","No","No","Femenino","41 a 60","Ciudad Autónoma de Buenos Aires","Femenino","18 a 25","No","No","Ciudad Autónoma de Buenos Aires","Argentina","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","1","No sabe/no contesta","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Posible captación","Línea 145","Boca en boca","Área legal para judicializar","2018-07-06","02","02","02","02"
"2018-07-05","Sí","No","No","No","Femenino","41 a 60","Chaco","Situaciones con hombres y mujeres o trans (varios)","0 a 13","No","No","Salta","Argentina","Situaciones con hombres y mujeres o trans (varios)","No sabe/no contesta","Salta","No","No","6","No sabe/no contesta","No sabe/no contesta","Salta","Posible trata de personas (hecho indefinido)","Línea 145","Otros","Protex","2018-07-06","22","66","66","66"
