"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_id","victima_identificada_provincia_origen_id","denunciado_provincia_id","victimas_estimadas_provincia_hecho_id"
"2019-05-01","Ampliatoria","No","No","No es Víctima","Femenino","31","CABA","Femenino","24","No","No","CABA","Países Limítrofes","Masculino","NS/NC","NS/NC","no","no","1","femenino","24","CABA","Desaparición de personas","Línea 145","NS/NC","Area legal del PNR (Ya judicializada)","2019-05-01","02","02","","02"
"2019-05-01","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","35","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","35","NS/NC","Posible captación","Correo Electrónico","NS/NC","Protex ","2019-05-01","","06","",""
"2019-05-01","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","35","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","35","NS/NC","Posible captación","Correo Electrónico","NS/NC","Protex ","2019-05-01","","06","",""
"2019-05-01","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","35","No","No","Buenos Aires","Argentina","Masculino","44","NS/NC","No","No","1","Femenino","35","NS/NC","Posible captación","Correo Electrónico","NS/NC","Protex ","2019-05-01","","06","",""
"2019-05-01","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","35","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","35","NS/NC","Posible captación","Correo Electrónico","NS/NC","Protex ","2019-05-01","","06","",""
"2019-05-01","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","Países Limítrofes","Masculino","NS/NC","Buenos Aires","Sí","No","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-05-01","06","","06","06"
"2019-05-01","Relacionada","No","No","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","NS/NC","Desaparición de personas","Línea 145","NS/NC","Protex ","2019-05-01","","","",""
"2019-05-01","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","1","Femenino","NS/NC","NS/NC","Posible captación","Correo Electrónico","NS/NC","Protex ","2019-05-01","","","",""
"2019-05-02","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Masculino","23","No","No","Corrientes","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Masculino","23","Corrientes","Desaparición de personas","Línea 145","NS/NC","Area legal del PNR (Ya judicializada)","2019-05-02","","18","","18"
"2019-05-02","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","Argentina","Femenino","50","Santa Cruz","Sí","No","NS/NC","Femenino","NS/NC","Santa Cruz","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-05-02","","","78","78"
