"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_identificada_provincia_origen_indec_id","denunciado_provincia_indec_id","victimas_estimadas_provincia_hecho_indec_id"
"2019-02-01","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Presencia de M y H","6","No","No","CABA","NS/NC","Masculino","NS/NC","Río Negro","No","No","2","Presencia de M y H","7","Buenos Aires","Pornografía Infantil","Línea 145","Internet","Policía Federal  y Protex","2019-02-01","06","02","62","06"
"2019-02-01","Ampliatoria","No","sí","No es Víctima","Masculino","NS/NC","caba","Femenino","NS/NC","No","No","Otro País","Otros Países","NS/NC","NS/NC","Otro País","Sí","No","4","Femenino","NS/NC","caba","Explotación Sexual","Correo Electrónico","NS/NC","Area Legal para judicializar","2019-02-01","02","","","02"
"2019-02-01","Nueva","No","sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Presencia de M y H","6","No","No","Buenos Aires","NS/NC","Masculino","50","Buenos Aires","No","No","6","Presencia de M y H","6","Buenos Aires","Explotación Sexual","Línea 145","Internet","Policía Federal  y Protex","2019-02-01","06","06","06","06"
"2019-02-01","Ampliatoria","No","sí","No es Víctima","Femenino","NS/NC","Río Negro","Presencia de M y H","NS/NC","No","No","Tucumán","NS/NC","Masculino","NS/NC","NS/NC","no","No","23","Presencia de M y H","NS/NC","Río Negro","Explotación Laboral","Línea 145","NS/NC","Protex","2019-02-01","62","90","","62"
"2019-02-02","Nueva","No","sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","1","No","No","Buenos Aires","Argentina","Femenino","24","Buenos Aires","No","No","3","Femenino","21","Buenos Aires","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Policía Federal  y Protex","2019-02-02","06","06","06","06"
"2019-02-02","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","Salta","Femenino","32","NO","NO","SALTA","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","32","Buenos Aires","Posible captación","Línea 145","ONG-Organismos nacionales","Fiscalía","2019-02-02","66","66","","06"
"2019-02-02","Nueva","No","No","No es Víctima","Femenino","24","Salta","Femenino","16","No","No","Salta","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","16","Salta","Desaparición de personas","Línea 145","No se consultó","Protex","2019-02-02","66","66","","66"
"2019-02-02","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","21","No","No","Buenos Aires","Argentina","Masculino","42","Buenos Aires","No","No","1","Femenino","21","Otro País","Explotación Sexual","Línea 145","NS/NC","Policía Federal y Protex","2019-02-02","06","06","06",""
"2019-02-02","Nueva","No","No","No es Víctima","Masculino","42","Mendoza","Femenino","NS/NC","NO","NO","NS/NC","Argentina","Masculino","NS/NC","Córdoba","No","No","NS/NC","Femenino","NS/NC","Mendoza","Posible captación","Línea 145","NS/NC","Protex","2019-02-02","50","","14","50"
"2019-02-02","Relacionada","No","No","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","Argentina","Masculino","NS/NC","CABA","No","No","NS/NC","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-02-02","02","","02","02"
"2019-02-03","Ampliatoria","No","sí","No es Víctima","Masculino","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","PROTEX","2019-02-03","","","","06"
"2019-02-03","Nueva","No","No","No es Víctima","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","Publicidad de Oferta Sexual","Correo Electrónico","NS/NC","Protex","2019-02-04","","","",""
"2019-02-04","Nueva","No","sí","No es Víctima","Masculino","40","Buenos Aires","Femenino","19","no","no","Buenos Aires","Otros Países","Presencia de M y H","27","Buenos Aires","no","no","5","Femenino","19","Buenos Aires","Explotación sexual","Línea 145","NS/NC","Protex ","2019-02-04","06","06","06","06"
"2019-02-04","Nueva","No","sí","No es Víctima","Femenino","50","Buenos Aires","Femenino","NS/NC","No","No","Santa Fe","NS/NC","NS/NC","NS/NC","NS/NC","no","no","NS/NC","Femenino","NS/NC","NS/NC","Posible captación","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-02-04","06","82","",""
"2019-02-04","Ampliatoria","No","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","23","NO","NO","BUENOS AIRES","Argentina","Masculino","60","BUENOS AIRES","NO","Sí","1","Femenino","NS/NC","BUENOS AIRES","Explotación Sexual","Línea 145","NS/NC","Protex","2019-02-04","06","06","06","06"
"2019-02-04","Nueva","No","No","No es Víctima","Femenino","26","Buenos Aires","Femenino","26","No","No","Buenos Aires","Argentina","Masculino","NS/NC","Buenos Aires","No","No","1","Femenino","NS/NC","Buenos Aires","Posible captación","Línea 145","Boca en Boca","Policía Federal y Protex","2019-02-04","06","06","06","06"
"2019-02-05","Nueva","No","sí","Víctima Directa","Femenino","NS/NC","Río Negro","Femenino","NS/NC","No","No","Río Negro","Argentina","Masculino","36","NS/NC","No","No","1","Femenino","NS/NC","Río Negro","Oferta Laboral Engañosa","Línea 145","Internet","Protex ","2019-02-05","62","62","","62"
"2019-02-05","Relacionada","No","sí","No es Víctima","Masculino","NS/NC","CABA","FEMENINO","NS/NC","NO","NO","NS/NC","NS/NC","FEMENINO","NS/NC","NS/NC","NO","NO","7","FEMENINO","NS/NC","CABA","Explotación Sexual","Línea 145","Internet","Area Legal para judicializar","2019-02-05","02","","","02"
