"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_genero","llamante_rango_etario","llamante_provincia","llamante_es_victima","victima_genero","victima_rango_etario","victima_discapacidad","victima_embarazada","victima_provincia_origen","victima_cantidad","victima_nacionalidad","denunciado_genero","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","hecho_provincia","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_provincia_origen_indec_id","denunciado_provincia_indec_id","hecho_provincia_indec_id"
"2018-01-01","No","No","Sí","Sin datos","14 a 16","Sin dato/no contesta","Sí","Situaciones con hombres y mujeres o trans (varios)","14 a 16","No","No","Sin dato/no contesta","0","Extranjera","Femenino","Ciudad Autónoma de Buenos Aires","Sí","No","Ciudad Autónoma de Buenos Aires","Explotación laboral niñas, niños y adolescentes","Línea 145","Otros","Fuerzas de seguridad federal","2018-01-01","","","",""
"2018-01-01","No","No","No","Sin datos","14 a 16","Sin dato/no contesta","Sin datos","Femenino","0 a 13","No","No","Misiones","0","Argentina","Femenino","Ciudad Autónoma de Buenos Aires","Sí","No","Ciudad Autónoma de Buenos Aires","Mula","Línea 145","Otros","Área legal para judicializar","2018-01-02","","54","",""
"2018-01-02","No","No","Sí","Sin datos","14 a 16","Sin dato/no contesta","Sin datos","No sabe/no contesta","0 a 13","No","No","Sin dato/no contesta","0","Extranjera","Femenino","Buenos Aires","No","No","Buenos Aires","Venta de niños y otros delitos","Línea 145","Boca en boca","Protex","2018-01-02","","","06","06"
"2018-01-02","No","Sí","No","Sin datos","0 a 13","Sin dato/no contesta","Sin datos","Femenino","26 a 40","No","No","Sin dato/no contesta","0","Argentina","No sabe/no contesta","Sin dato/no contesta","No","No","Buenos Aires","Explotación sexual","Teléfono institucional (no salientes)","Otros","Protex","2018-01-02","","","","06"
"2018-01-02","No","No","Sí","Sin datos","14 a 16","Sin dato/no contesta","Sí","Femenino","No refiere","No","No","Sin dato/no contesta","0","Argentina","Femenino","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Boca en boca","Área legal para judicializar","2018-01-02","","","",""
"2018-01-02","No","No","No","Sin datos","0 a 13","Sin dato/no contesta","Sí","Masculino","0 a 13","No","No","Ciudad Autónoma de Buenos Aires","0","Argentina","Femenino","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Grooming","Línea 145","Otros","Area legal ya judicializada","2018-01-02","","","",""
"2018-01-02","No","No","No","Sin datos","0 a 13","Sin dato/no contesta","Sin datos","Femenino","No refiere","No","No","Buenos Aires","0","Argentina","Trans","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-01-02","","06","06","06"
"2018-01-02","No","No","Sí","Sin datos","0 a 13","Sin dato/no contesta","Sin datos","Femenino","0 a 13","No","No","Córdoba","0","Argentina","Femenino","Córdoba","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-01-02","","14","14","06"
"2018-01-02","No","No","Sí","Sin datos","0 a 13","Sin dato/no contesta","Sin datos","Femenino","14 a 16","No","No","Jujuy","0","Argentina","Masculino","Jujuy","No","No","Jujuy","Explotación sexual","Línea 145","Otros","Fuerzas de seguridad federal","2018-01-02","","38","38","38"
"2018-01-02","No","No","No","Sin datos","0 a 13","Sin dato/no contesta","Sin datos","Femenino","No refiere","No","No","Buenos Aires","0","Argentina","Trans","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Otros","Protex","2018-01-03","","06","06","06"
